time_s,imu_acc_norm_mps2,imu_gyro_norm_rps,stationary_flag,zupt_update_count,update_applied,pos_x_m,pos_y_m,pos_z_m,vel_x_mps,vel_y_mps,vel_z_mps
19.899954277,9.88316371412,0.017342145196,1,1,1,0.0413195803322,-0.0437459238315,-0.00490995847741,-0.0031688387921,-0.00743437946233,-0.0179085203962
20.199954277,9.86343246543,0.00297909382195,1,2,1,0.0757627874894,-0.0805035307948,-0.0104401412489,0.0713197823475,-0.0806516139977,-0.00982368239825
20.299954277,9.81862261216,0.00883529852354,1,3,1,0.0858125516965,-0.100665277889,-0.0158353604475,0.0628660129459,-0.0986170103299,-0.0173037742774
20.399954277,9.81779379494,0.0210490498598,1,4,1,0.0936753165739,-0.117081166519,-0.0169976392554,0.0536502437724,-0.106701776701,-0.0137552784829
20.499954277,9.80903919862,0.0273335873972,1,5,1,0.0981706113293,-0.113944785544,-0.0172726164664,0.0405428007667,-0.0509901689389,-0.014748137981
20.699954277,9.76841082265,0.00212132034356,1,6,1,0.0972732889247,-0.119324960556,-0.0124532634779,-0.00606328239217,-0.0138257914097,0.00177073935567
20.799954277,9.72342660794,0.0351674565472,1,7,1,0.096962118352,-0.133043082499,-0.0123201896962,-0.01576513158,-0.0367021282119,-0.00101612931242
21.099954277,9.7186637456,0.0270751269618,1,8,1,0.0709233257585,-0.120788484408,-0.0101946545537,-0.0901905070612,0.045787035937,-0.00913776270204
21.499954277,9.62732309627,0.0107121426428,1,9,1,0.016296559728,-0.0845464344232,-0.00490831585589,-0.14632514012,0.110849160233,-0.0224298207892
21.799954277,9.66632556869,0.0148345036991,1,10,1,-0.0333451617417,-0.0480813801093,-0.0048948779009,-0.162755702865,0.138849352285,-0.0405000766893
21.899954277,9.62583113295,0.0266282275039,1,11,1,-0.0553248468671,-0.0240519054492,-0.000617859318794,-0.175336240232,0.168968646081,-0.0363742313577
21.999954277,9.62051583856,0.0371197386844,1,12,1,-0.0684788227901,-0.00775415765407,0.00406757810239,-0.159171917372,0.172440162424,-0.0305818786568
22.099954277,9.61514690475,0.0304559107564,1,13,1,-0.0869076654996,0.00143310077483,0.00784772392705,-0.164777274978,0.15166713296,-0.0242324477487
22.399954277,9.67057521557,0.02625,1,14,1,-0.123723743901,0.0386134687968,0.0176010851301,-0.125169226902,0.134813760041,-0.0100203699614
22.499954277,9.64060682737,0.0269200204309,1,15,1,-0.147134654575,0.0612561404883,0.016534205429,-0.148687402965,0.160872628612,-0.0190357879898
