dataset,source_file,samples,duration_s,final_lio_xy_drift_m,max_lio_xy_drift_m,p95_lio_xy_drift_m,rmse_relative_xy_error_m,max_relative_xy_error_m,max_abs_lio_z_change_m,median_filtered_points,mean_filtered_points,median_registered_points,mean_registered_points,max_truth_xy_motion_m,notes
raw_before_drift_fix,raw_lio_stationary_before_drift_fix_20260827.csv,61,59.914460183000074,0.130878702944253,0.3816268953821857,0.3225587296593608,0.17594652846640138,0.3520058958300238,0.1791975311096881,22254.0,21473.147540983606,7603.0,7451.163934426229,0.11711116316320434,原始基线：水面/点击平面处理和Point-LIO参数优化前的静止测试
improved_final_optimized,improved_lio_stationary_final_optimized_20260827.csv,60,59.48875471800011,0.03220218916281026,0.2955854697048765,0.2282728276837961,0.16545927753766781,0.3015211391567696,0.10793139092617514,20597.0,20278.066666666666,7161.5,7042.183333333333,0.111084407108613,改进版本：最终采用的Point-LIO与点云链路配置
improved_after_drift_fix,improved_lio_stationary_after_drift_fix_20260827.csv,61,59.53997479099985,0.15141031313052725,0.266197871227699,0.23861393119074126,0.1799148599129278,0.2879721947499192,0.035215289565473706,20159.0,19860.803278688523,7003.0,6903.983606557377,0.10737004387138688,中间改进版本：用于追踪调参过程，不作为最终主对比
