time_s,imu_acc_norm_mps2,imu_gyro_norm_rps,stationary_flag,zupt_update_count,update_applied,pos_x_m,pos_y_m,pos_z_m,vel_x_mps,vel_y_mps,vel_z_mps
20.599954277,9.84042936055,0.0028394541729,0,0,0,0.00578134180394,-0.0192626053555,0.00398095487487,-0.0415529142662,0.0157806934122,-0.00100012031104
20.699954277,9.89469049541,0.00493077073083,0,0,0,0.00526988798447,-0.0104314530532,0.0061071022446,-0.0242634914604,0.0610309010644,0.00908492803769
20.799954277,9.83939784743,0.0281746783478,0,0,0,0.00339060262454,-0.0313529029413,0.00721900828217,-0.0268462774213,-0.050740414526,0.00983110398306
20.899954277,9.80970310458,0.0159138304628,0,0,0,-0.001082353693,-0.0254616430168,0.0110310888033,-0.0421769451785,-0.00302203338334,0.0206167470078
21.099954277,9.83537111654,0.0272373823999,0,0,0,-0.0140373725347,-0.010924030107,0.0172440173154,-0.0668060507254,0.0535064978497,0.0237159359324
21.399954277,9.78814844595,0.0279195272166,0,0,0,-0.0429780516524,0.0173560043902,0.0416911047356,-0.0979536238382,0.0978177167862,0.0493652282835
22.099954277,9.73064874507,0.0027041634566,0,0,0,-0.155129302018,0.0950777919248,0.0708319343239,-0.168647208823,0.127401519433,0.00889539874055
22.199954277,9.69544996377,0.0161728939896,0,0,0,-0.188165002842,0.121855393407,0.0807948542665,-0.213783983627,0.1626450183,0.0257651138962
22.599954277,9.78002300611,0.0277049183359,0,0,0,-0.231163611228,0.158556835033,0.0746629184919,-0.113028388562,0.0964153245586,-0.0214739347083
22.699954277,9.77005245636,0.0203039405042,0,0,0,-0.237984865037,0.174796975131,0.0762644546337,-0.0960754129985,0.11284508562,-0.0154634876346
22.799954277,9.80020407951,0.0266868413268,0,0,0,-0.243505208479,0.180269967384,0.0770931910225,-0.0808854114669,0.0944288746575,-0.00940669651118
22.899954277,9.82503689561,0.0214665437367,0,0,0,-0.252447744545,0.186415797545,0.0686926184879,-0.0809569537303,0.0818871356619,-0.0330743151473
23.299954277,9.81514773195,0.0320858224143,0,0,0,-0.249345574694,0.198219209543,0.0579458984341,0.0074558729516,0.0228535627202,-0.0215645748227
23.499954277,9.8853439495,0.0238078243441,0,0,0,-0.21577968906,0.188096737459,0.0647437661561,0.0963186634377,-0.0236147375312,0.0156694233071
23.799954277,9.95055902952,0.0257936523199,0,0,0,-0.162861313491,0.164141382775,0.0708963426312,0.165591182735,-0.0758614654427,0.0440030830988
23.999954277,9.95139939908,0.0174696164812,0,0,0,-0.126971081552,0.143450768812,0.0756345676928,0.175315520252,-0.099742581205,0.0605231808915
24.099954277,9.91641820417,0.0154818442054,0,0,0,-0.106697821623,0.122269354101,0.0781022770263,0.18240437065,-0.136044435737,0.0698292997818
24.199954277,9.94626940114,0.0252722674092,0,0,0,-0.0918206667104,0.114345888372,0.0749514172784,0.170383071432,-0.120104573275,0.0573243712517
24.299954277,9.91715054842,0.0208970691725,0,0,0,-0.073237127682,0.10185242761,0.0691931265673,0.17533119495,-0.124586989043,0.0410277135022
24.599954277,9.92847798003,0.018848076825,0,0,0,-0.0414700658164,0.0795274647487,0.0596513847299,0.116567001791,-0.0894517503232,0.0214302633952
24.699954277,9.9218508858,0.0283703189971,0,0,0,-0.0288285775826,0.0589130559599,0.0479536760401,0.113914661455,-0.12215882404,0.0021089574193
24.799954277,9.91315287888,0.0104403065089,0,0,0,-0.0203074121951,0.0477858987973,0.0371344596957,0.0995341630785,-0.121281250743,-0.0179052846882
24.899954277,9.93283192247,0.025585640504,0,0,0,-0.0169045955076,0.0437724950438,0.0312907140196,0.0712306503529,-0.0966686395554,-0.0205404372336
24.999954277,9.9178046966,0.0244655369857,0,0,0,-0.0141669653468,0.0420984656266,0.0285120782997,0.0488373424145,-0.0712902752467,-0.0152632811682
25.399954277,9.84873342111,0.0253746921164,0,0,0,-0.0129674138447,0.0278941679617,0.0250062519098,-0.0127097498677,-0.0302896538651,0.000658086548099
