dataset,source_file,samples,duration_s,final_drift_m,max_drift_m,p95_drift_m,rmse_relative_xy_m,max_relative_xy_m,max_abs_z_change_m,median_filtered_points,median_registered_points,notes
raw_baseline,data/lio_stationary_before_drift_fix_20260827.csv,61,59.914460183000074,0.130878702944253,0.3816268953821857,0.3225587296593608,0.17594652846640138,0.3520058958300238,0.179197531109688,22254.0,7603.0,原始基线
after_drift_fix,data/lio_stationary_after_drift_fix_20260827.csv,61,59.53997479099985,0.15141031313052725,0.266197871227699,0.23861393119074129,0.1799148599129278,0.2879721947499192,0.035215289565474,20159.0,7003.0,中间版本：最大瞬时漂移较低，但末值漂移较大
zupt_candidate,data/lio_stationary_after_zupt_20260827.csv,59,58.45205377500133,0.02160232212176234,0.2827748890497416,0.23790556390079268,0.15859606386505723,0.2693283005015728,0.043348275512821,22308.0,7630.0,较新的 ZUPT 候选：约 58 s 静止测试，需同链路复测后再晋级
final_optimized_reference,data/lio_stationary_final_optimized_20260827.csv,60,59.48875471800011,0.03220218916281026,0.2955854697048765,0.22899052464033623,0.16545927753766781,0.3015211391567696,0.107931390926175,20597.0,7161.5,当前报告采用的最终参考版本；P95 略优于 ZUPT 候选
