2026-09-01T20:21:17+08:00 fresh=ACCEPTED code=1; Nav2 goal accepted; status_seq=3
2026-09-01T20:21:21+08:00 ACCEPTED code=1; Nav2 goal accepted; status_seq=3
2026-09-01T20:21:26+08:00 ACCEPTED code=1; Nav2 goal accepted; status_seq=3
2026-09-01T20:21:32+08:00 ACCEPTED code=1; Nav2 goal accepted; status_seq=3
2026-09-01T20:21:38+08:00 ACCEPTED code=1; Nav2 goal accepted; status_seq=3
2026-09-01T20:21:42+08:00 ACCEPTED code=1; Nav2 goal accepted; status_seq=3
2026-09-01T20:21:47+08:00 ACCEPTED code=1; Nav2 goal accepted; status_seq=3
2026-09-01T20:21:53+08:00 ACCEPTED code=1; Nav2 goal accepted; status_seq=3
2026-09-01T20:21:59+08:00 ACCEPTED code=1; Nav2 goal accepted; status_seq=3
2026-09-01T20:22:05+08:00 ABORTED code=6; status_seq=4
