2026-09-01T13:21:31+08:00 fresh=ACCEPTED code=1; Nav2 goal accepted; status_seq=3
2026-09-01T13:21:34+08:00 ACCEPTED code=1; Nav2 goal accepted; status_seq=3
2026-09-01T13:21:39+08:00 ACCEPTED code=1; Nav2 goal accepted; status_seq=3
2026-09-01T13:21:45+08:00 ACCEPTED code=1; Nav2 goal accepted; status_seq=3
2026-09-01T13:21:51+08:00 ACCEPTED code=1; Nav2 goal accepted; status_seq=3
2026-09-01T13:21:57+08:00 ACCEPTED code=1; Nav2 goal accepted; status_seq=3
2026-09-01T13:22:03+08:00 ACCEPTED code=1; Nav2 goal accepted; status_seq=3
2026-09-01T13:22:09+08:00 ACCEPTED code=1; Nav2 goal accepted; status_seq=3
2026-09-01T13:22:15+08:00 ACCEPTED code=1; Nav2 goal accepted; status_seq=3
2026-09-01T13:22:21+08:00 ACCEPTED code=1; Nav2 goal accepted; status_seq=3
2026-09-01T13:22:28+08:00 ABORTED code=6; status_seq=4
