boat camera_init x=-0.31 y=0.37 yaw=-0.001
global_costmap 200x200 res=0.5 unknown=86.4% cost>=50=3.5%
local_costmap  200x200 res=0.30000001192092896 unknown=0.0% cost>=50=10.2%

bearing  best_r       x       y  why
      0    24.0   23.69    0.36  local:free
    -15    24.0   22.87   -5.85  local:free
     15    20.5   19.50    5.67  local:free
    -30    24.0   20.47  -11.64  local:free
     30    21.5   18.32   11.11  local:free
    -45    24.0   16.65  -16.61  local:free
     45    24.0   16.67   17.33  local:free
