boat camera_init x=-0.16 y=0.17 yaw=0.002
global_costmap 200x200 res=0.5 unknown=86.4% cost>=50=3.3%
local_costmap  200x200 res=0.30000001192092896 unknown=0.0% cost>=50=10.0%

bearing  best_r       x       y  why
      0    24.0   23.84    0.21  local:free
    -15    24.0   23.03   -6.00  local:free
     15    20.5   19.63    5.51  local:free
    -30    24.0   20.64  -11.79  local:free
     30    21.5   18.44   10.95  local:free
    -45    24.0   16.83  -16.77  local:free
     45    24.0   16.78   17.17  local:free
