boat camera_init x=-0.37 y=0.44 yaw=-0.004
global_costmap 200x200 res=0.5 unknown=86.7% cost>=50=4.0%
local_costmap  200x200 res=0.30000001192092896 unknown=0.0% cost>=50=11.4%

bearing  best_r       x       y  why
      0    24.0   23.63    0.35  local:free
    -15    24.0   22.79   -5.86  local:free
     15    20.5   19.45    5.67  local:free
    -30    24.0   20.37  -11.64  local:free
     30    20.5   17.42   10.62  local:free
    -45    24.0   16.54  -16.59  local:free
     45    24.0   16.67   17.35  local:free
