boat camera_init x=-1.45 y=1.74 yaw=-0.001
global_costmap 200x200 res=0.5 unknown=85.6% cost>=50=3.5%
local_costmap  100x100 res=0.30000001192092896 unknown=0.0% cost>=50=22.9%

bearing  best_r       x       y  why
      0    12.0   10.55    1.73  local:free
    -15    12.5   10.62   -1.51  local:free
     15    12.5   10.63    4.96  local:free
    -30    14.0   10.66   -5.27  local:free
     30    14.0   10.68    8.73  local:free
    -45    17.0   10.55  -10.29  local:free
     45    17.0   10.59   13.75  local:free
