boat camera_init x=-0.37 y=0.45 yaw=0.001
global_costmap 200x200 res=0.5 unknown=86.5% cost>=50=2.9%
local_costmap  200x200 res=0.30000001192092896 unknown=0.0% cost>=50=8.0%

bearing  best_r       x       y  why
      0    24.0   23.63    0.48  local:free
    -15    24.0   22.82   -5.74  local:free
     15    20.5   19.42    5.78  local:free
    -30    24.0   20.42  -11.53  local:free
     30    21.5   18.23   11.22  local:free
    -45    24.0   16.62  -16.50  local:free
     45    24.0   16.58   17.44  local:free
