t,source,point_index,x,y,z
3.022,raw,0,-5.7467,-6.4624,0.5168
3.022,raw,9,-5.6139,-6.6698,0.5078
3.022,raw,19,-5.4340,-6.8680,0.5032
3.022,raw,28,-6.2063,-7.2513,0.6311
3.022,raw,38,-6.0323,-7.4929,0.6232
3.022,raw,47,-5.8739,-7.7139,0.6151
3.022,raw,57,-5.7094,-7.9820,0.6023
3.022,raw,66,-5.5255,-8.1829,0.5961
3.022,raw,76,-5.3704,-8.4853,0.5775
3.022,raw,86,-5.1678,-8.7303,0.5666
3.022,raw,95,-4.3466,-7.8900,0.6998
3.022,raw,105,-4.1041,-8.0137,0.7015
3.022,raw,114,-4.5694,-9.4252,0.5314
3.022,raw,124,-4.3548,-9.7003,0.5141
3.022,raw,133,-6.9819,-7.6940,0.7904
3.022,raw,143,-6.8357,-8.0010,0.7786
3.022,raw,153,-6.6986,-8.3306,0.7638
3.022,raw,162,-6.4964,-8.5413,0.7606
3.022,raw,172,-6.2872,-8.8000,0.7535
3.022,raw,181,-6.1079,-9.0523,0.7445
3.022,raw,191,-5.9335,-9.3807,0.7286
3.022,raw,200,-5.6961,-9.5654,0.7263
3.022,raw,210,-4.3056,-7.8743,0.9270
3.022,raw,220,-4.0822,-8.0302,0.9248
3.022,raw,229,-5.0555,-10.4252,0.6868
3.022,raw,239,-4.8286,-10.7491,0.6695
3.022,raw,248,-4.5780,-10.9610,0.6616
3.022,raw,258,-4.3286,-11.2800,0.6438
3.022,raw,267,-4.1169,-11.6263,0.6214
3.022,raw,277,-3.8488,-11.9636,0.6008
3.022,raw,287,-3.6350,-12.5104,0.5593
3.022,raw,296,-3.4039,-12.9505,0.5267
3.022,raw,306,-8.1771,-7.9608,0.9761
3.022,raw,315,-8.0179,-8.2379,0.9706
3.022,raw,325,-7.8117,-8.5223,0.9666
3.022,raw,334,-7.6306,-8.7880,0.9616
3.022,raw,344,-7.4096,-9.0671,0.9571
3.022,raw,353,-7.2418,-9.3621,0.9489
3.022,raw,363,-7.0235,-9.6607,0.9419
3.022,raw,373,-6.8096,-9.9756,0.9332
3.022,raw,382,-6.6258,-10.2835,0.9230
3.022,raw,392,-6.4124,-10.6284,0.9112
3.022,raw,401,-4.3738,-7.8826,1.1464
3.022,raw,411,-4.1033,-7.9567,1.1514
3.022,raw,420,-5.7300,-11.5527,0.8797
3.022,raw,430,-5.4604,-11.8727,0.8685
3.022,raw,440,-5.2108,-12.2596,0.8518
3.022,raw,449,-4.9350,-12.5190,0.8431
3.022,raw,459,-4.6808,-12.9615,0.8215
3.022,raw,468,-4.4619,-13.4331,0.7964
3.022,raw,478,-4.1973,-13.9635,0.7678
3.022,raw,487,-4.0016,-14.6524,0.7265
3.022,raw,497,-3.7158,-15.3058,0.6886
3.022,raw,507,-3.3865,-15.9149,0.6535
3.022,raw,516,-3.0909,-16.5876,0.6128
3.022,raw,526,-2.8721,-18.1319,0.5112
3.022,raw,535,-10.7304,-5.3795,1.2284
3.022,raw,545,-10.6329,-5.7368,1.2248
3.022,raw,554,-10.5268,-6.0525,1.2221
3.022,raw,564,-10.3475,-6.3706,1.2218
3.022,raw,574,-10.2261,-6.7271,1.2178
3.022,raw,583,-10.0660,-7.0185,1.2165
3.022,raw,593,-9.9472,-7.3879,1.2112
3.022,raw,602,-9.7477,-7.6566,1.2111
3.022,raw,612,-9.5528,-7.9775,1.2090
3.022,raw,621,-9.4179,-8.3045,1.2042
3.022,raw,631,-9.2183,-8.6316,1.2011
3.022,raw,640,-9.0122,-8.9056,1.1994
3.022,raw,650,-8.8318,-9.2631,1.1938
3.022,raw,660,-8.6267,-9.6048,1.1890
3.022,raw,669,-8.4679,-9.9498,1.1822
