elapsed_s,mode,spawn_yaw_rad,lio_x_rel_m,lio_y_rel_m,lio_z_rel_m,ekf_x_rel_m,ekf_y_rel_m,ekf_z_rel_m,ekf_camera_x_rel_m,ekf_camera_y_rel_m,truth_x_rel_m,truth_y_rel_m,truth_z_rel_m,truth_world_x_rel_m,truth_world_y_rel_m,lio_xy_drift_m,ekf_xy_drift_m,truth_xy_motion_m,lio_truth_xy_error_m,ekf_truth_xy_error_m,lio_yaw_rad,ekf_yaw_rad,lio_vx_mps,lio_vy_mps,lio_wz_radps,ekf_vx_mps,ekf_vy_mps,ekf_wz_radps,cmd_vx_mps,cmd_wz_radps,gps_lat,gps_lon,imu_gz_radps,filtered_points,registered_points,safety_cloud_points,raw_obstacle_points,safety_stop,nan_count,stamp_backwards
10.220799574000011,running,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007241117249606101,1.9999266399930917,0.002561504016353326,-0.0007169453604288856,-0.01,0.005260062618262174,0.0006033118044092087,0.015462474904422803,0.6,-0.023272696065749426,-33.72276904959428,150.67398741930197,0.017,22384,7698,3504,3504,0,0,0
10.42099810000002,running,1.0,0.0,0.0,0.0,0.001850166083153415,0.005769689974986059,0.0,0.005854675706254581,0.0015605157215799845,0.020275284918014995,0.00027768302322665056,-0.008253498725460176,0.010721120986318056,0.017211096744972565,0.0,0.006059078885664542,0.020277186352353586,0.020277186352353586,0.014477556070355032,0.0007241117249606101,2.0006699419845884,0.002561504016353326,-0.0007169453604288856,-0.01,0.006492010998530591,-0.0004149800551745029,-0.008146727240926865,0.6,-0.023272696065749426,-33.722768880313936,150.6739875403186,0.00275,22384,7698,3504,3504,0,0,0
10.621190017999993,running,1.0,0.0,0.0,0.0,0.00912502199913856,0.019708052026810807,0.0,0.021514024374877816,0.0029698647062462984,0.0520382370811079,0.0006822834148818707,-0.016993413666057902,0.02754225779119679,0.04415730590662292,0.0,0.021718041835677642,0.052042709663965576,0.052042709663965576,0.030609811980797572,0.0007241117249606101,2.0018421839296074,0.002561504016353326,-0.0007169453604288856,-0.01,0.009572186860994886,-0.004246405736455084,0.003873026138560005,0.6,-0.023272696065749426,-33.722768598094596,150.67398775413847,0.022,22384,7698,3466,3466,0,0,0
10.82137327700002,running,1.0,0.0,0.0,0.0,0.021834405500436194,0.04104714381123642,0.0,0.046337160165538134,0.0038048477513651854,0.09209058993301701,0.0011636265032275717,-0.02516409393149828,0.04877760014994692,0.07812026948533912,0.0,0.04649311001232121,0.09209794124110543,0.09209794124110543,0.0458296016256877,0.0007241117249606101,2.002931123861141,0.002561504016353326,-0.0007169453604288856,-0.01,0.015111148821186504,-0.012320343817646165,0.012385942420151624,0.6,-0.019065084261286478,-33.722768318617874,150.6739879701503,0.0015,22304,7698,3464,3464,0,0,0
11.021838374000026,running,1.0,0.04366063649217966,0.04312401268258831,-0.0029742403097068673,0.032443639829938475,0.07661677051985238,0.0,0.08200016275301199,0.014095836221595336,0.1409035100399661,0.0016797350237076208,-0.03228684830362269,0.07471704309489269,0.11947378006277631,0.061367187068907494,0.08320288030054303,0.14091352188960682,0.10570621839086469,0.060197706688575055,0.0016337353710702916,2.0013090660534214,0.0068591280288463775,-0.000572379780936102,0.00675,0.05091443012748479,-0.007013859360714015,-0.003291529118263913,0.6,-0.03308656129875953,-33.722768002194734,150.6739882153426,0.00375,22304,7632,3464,3464,0,0,0
11.222212789000025,running,1.0,0.04366063649217966,0.04312401268258831,-0.0029742403097068673,0.053104103539267145,0.11379011469536893,0.0,0.12444334946744207,0.0167954990523803,0.2002685083683399,0.0023183323516893367,-0.03825088348303607,0.10625472745709885,0.16977273927810188,0.061367187068907494,0.12557163698500717,0.2002819265659603,0.16183673588171302,0.0771948384156998,0.0016337353710702916,2.002383434824532,0.0068591280288463775,-0.000572379780936102,0.00675,0.057419744962329954,-0.012623402149710819,0.009119320526948058,0.6,-0.03294273554637787,-33.72276751441237,150.6739885970468,0.0075,22304,7632,3464,3464,0,0,0
11.422708940999996,running,1.0,0.0908822446636543,0.05068860389174956,-0.006473213684373494,0.07883810545240322,0.16118687296753276,0.0,0.17823048690030413,0.020749660904610334,0.27001608376867264,0.0030633451991884525,-0.04315485265523794,0.14331259658013096,0.22886583239758806,0.104062082237475,0.17943426341804342,0.2700334601074101,0.1853566766481207,0.09347406889461117,0.0016496831482857878,2.0032643066096707,0.024839761044425212,0.002220485748425956,0.00825,0.07645249476706396,-0.020901346023321558,0.00016674600300426758,0.6,-0.03294273554637787,-33.722766960009984,150.67398903419044,-0.00425,22148,7632,3525,3525,0,0,0
11.625651697000023,running,1.0,0.1224364078876245,0.05887528318227808,-0.01082276873134648,0.11192404381397086,0.2011977128314698,0.0,0.22977485651216842,0.01452675280641473,0.3334470234044348,0.00371057768382399,-0.04619155349200868,0.1770398521724701,0.2825908288440644,0.13585644241705358,0.2302336014405505,0.33346766830387825,0.21810232596997745,0.10423486860173269,0.002572439356482774,2.0048331916419917,0.005471747772849511,-0.0007016892071632787,0.02,0.04045952291950303,-0.012486323616454216,0.014251570392420441,0.6,-0.038960898431551615,-33.72276649735617,150.67398939887718,0.016,22140,7606,3510,3510,0,0,0
11.825904648000005,running,1.0,0.17234931478033924,0.06269455624951903,-0.016863399038395947,0.1267749004201391,0.22234886397662001,0.0,0.25559688856452845,0.013458203608271685,0.4064533406637956,0.004467091334985351,-0.048110753845711396,0.21584874944358035,0.3444322725956397,0.18339818343859507,0.25595095758412323,0.4064778875188103,0.24123667342511435,0.15112415174249724,0.001963012136797308,2.005195889796987,0.0036784056363654673,-0.00043274808517382963,0.00525,0.024628402814528168,-0.0077584770353424076,0.007670818872049215,0.6,-0.02760992182702641,-33.72276601942468,150.67398977682242,0.0225,22140,7606,3474,3474,0,0,0
12.026041980000002,running,1.0,0.17234931478033924,0.06269455624951903,-0.016863399038395947,0.1804122767028024,0.2988024391615718,0.0,0.34891075185373444,0.009631950729479921,0.48021572785826333,0.005209044276003216,-0.04856770778255917,0.2550784054591304,0.40690206007482743,0.18339818343859507,0.3490436752528161,0.48024397906138394,0.31318734391466746,0.13137944597632512,0.001963012136797308,2.0053177375882374,0.0036784056363654673,-0.00043274808517382963,0.00525,0.0252106670324741,-0.013613056729696647,0.0024288496882666107,0.6,-0.02595465476402237,-33.72276533965503,150.67399031500676,0.00475,22140,7598,3474,3474,0,0,0
