t,pose_x,pose_y,pose_yaw,goal_x,goal_y,goal_active,des_vx,des_wz,act_vx,act_wz,crosstrack_err,along_err,heading_err,mode,obstacle_pts
0.201,0.000,0.000,0.0000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,PLAN,0
0.401,0.000,0.000,0.0000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,PLAN,0
0.600,0.000,0.000,0.0000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,PLAN,0
0.800,0.000,0.000,0.0000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,PLAN,0
1.000,0.000,0.000,0.0000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,PLAN,0
1.200,0.000,0.000,0.0000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,PLAN,0
1.400,0.000,0.000,0.0000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,PLAN,0
1.600,0.000,0.000,0.0000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,PLAN,0
1.801,0.000,0.000,0.0000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,PLAN,217
2.000,-0.507,0.607,-0.0013,0.000,0.000,0,0.000,0.000,0.250,-0.012,0.000,0.000,0.0000,PLAN,217
2.200,-0.535,0.619,0.0010,0.000,0.000,0,0.000,0.000,0.089,0.020,0.000,0.000,0.0000,PLAN,217
2.400,-0.535,0.619,0.0010,0.000,0.000,0,0.000,0.000,0.089,0.020,0.000,0.000,0.0000,PLAN,217
2.600,-0.535,0.619,0.0010,0.000,0.000,0,0.000,0.000,0.089,0.020,0.000,0.000,0.0000,PLAN,217
2.800,-0.542,0.620,-0.0014,0.000,0.000,0,0.000,0.000,0.144,-0.111,0.000,0.000,0.0000,PLAN,217
3.000,-0.531,0.646,-0.0033,0.000,0.000,0,0.000,0.000,0.075,-0.051,0.000,0.000,0.0000,PLAN,217
3.200,-0.523,0.661,0.0006,0.000,0.000,0,0.000,0.000,0.132,0.006,0.000,0.000,0.0000,PLAN,217
3.400,-0.523,0.661,0.0006,0.000,0.000,0,0.000,0.000,0.132,0.006,0.000,0.000,0.0000,PLAN,217
3.600,-0.523,0.661,0.0006,8.000,0.000,1,0.000,0.000,0.132,0.006,0.000,0.000,-0.0781,PLAN,217
3.800,-0.557,0.702,-0.0003,8.000,0.000,1,0.000,0.000,-0.100,0.070,0.038,-0.037,-0.0815,PLAN,217
4.001,-0.509,0.676,0.0007,8.000,0.000,1,0.000,0.000,0.329,0.000,0.016,0.012,-0.0800,PLAN,217
4.200,-0.518,0.674,0.0014,8.000,0.000,1,0.000,0.000,-0.020,0.003,0.013,0.003,-0.0803,PLAN,217
4.400,-0.497,0.682,-0.0029,8.000,0.000,1,0.000,0.000,0.047,-0.231,0.023,0.024,-0.0772,PLAN,217
4.600,-0.498,0.698,-0.0020,8.000,0.000,1,0.000,0.000,0.033,-0.006,0.038,0.022,-0.0799,PLAN,217
4.800,-0.480,0.689,-0.0000,8.000,0.000,1,0.000,0.000,0.201,-0.126,0.030,0.041,-0.0810,PLAN,217
5.000,-0.480,0.689,-0.0000,8.000,0.000,1,0.000,0.000,0.201,-0.126,0.030,0.041,-0.0810,PLAN,217
5.201,-0.488,0.704,0.0014,8.000,0.000,1,0.000,0.000,0.172,0.037,0.045,0.031,-0.0842,PLAN,217
5.400,-0.512,0.682,-0.0045,8.000,0.000,1,0.000,0.000,0.001,-0.065,0.022,0.009,-0.0755,PLAN,217
5.600,-0.476,0.661,0.0015,8.000,0.000,1,0.000,0.000,0.117,-0.174,0.004,0.047,-0.0794,PLAN,175
5.800,-0.495,0.607,-0.0013,8.000,0.000,1,0.000,0.000,-0.089,-0.012,0.052,0.032,-0.0701,PLAN,175
6.000,-0.507,0.677,-0.0006,8.000,0.000,1,0.000,0.000,0.028,0.037,0.017,0.015,-0.0788,PLAN,175
6.200,-0.491,0.673,0.0008,8.000,0.000,1,0.000,0.000,0.130,-0.013,0.014,0.030,-0.0798,PLAN,175
6.400,-0.491,0.673,0.0008,8.000,0.000,1,0.000,0.000,0.130,-0.013,0.014,0.030,-0.0798,PLAN,175
6.600,-0.542,0.649,0.0007,8.000,0.000,1,0.000,0.000,-0.075,0.025,0.014,-0.018,-0.0765,PLAN,175
6.800,-0.515,0.642,0.0007,8.000,0.000,1,0.000,0.000,0.161,-0.072,0.018,0.009,-0.0760,PLAN,175
7.000,-0.529,0.639,-0.0002,8.000,0.000,1,0.000,0.000,0.191,-0.033,0.023,-0.005,-0.0746,PLAN,175
7.201,-0.532,0.626,-0.0005,8.000,0.000,1,0.000,0.000,0.220,0.004,0.036,-0.006,-0.0727,PLAN,211
7.400,-0.543,0.602,-0.0035,8.000,0.000,1,0.000,0.000,0.046,-0.156,0.061,-0.015,-0.0668,PLAN,211
7.600,-0.560,0.598,-0.0002,8.000,0.000,1,0.000,0.000,-0.068,0.006,0.066,-0.032,-0.0696,PLAN,201
7.800,-0.561,0.616,-0.0021,8.000,0.000,1,0.000,0.000,-0.138,0.047,0.048,-0.035,-0.0697,PLAN,206
8.000,-0.550,0.588,0.0002,8.000,0.000,1,0.000,0.000,0.078,-0.015,0.075,-0.021,-0.0689,PLAN,222
8.200,-0.553,0.578,0.0028,8.000,0.000,1,0.000,0.000,0.046,0.014,0.085,-0.024,-0.0704,PLAN,222
8.400,-0.513,0.591,0.0006,8.000,0.000,1,0.000,0.000,0.283,-0.035,0.070,0.015,-0.0698,PLAN,221
8.600,-0.539,0.618,-0.0019,8.000,0.000,1,0.000,0.000,-0.135,0.052,0.045,-0.012,-0.0703,PLAN,221
8.800,-0.507,0.581,0.0001,8.000,0.000,1,0.000,0.000,0.224,-0.046,0.079,0.022,-0.0683,PLAN,215
9.000,-0.515,0.644,-0.0033,8.000,0.000,1,0.000,0.000,-0.076,-0.005,0.016,0.009,-0.0722,PLAN,215
9.200,-0.487,0.600,0.0007,8.000,0.000,1,0.000,0.000,0.099,-0.003,0.059,0.040,-0.0712,PLAN,217
9.401,-0.485,0.613,-0.0017,8.000,0.000,1,0.000,0.000,0.023,-0.001,0.045,0.041,-0.0705,PLAN,217
9.601,-0.458,0.615,0.0006,8.000,0.000,1,0.000,0.000,0.210,-0.046,0.042,0.068,-0.0731,PLAN,215
9.800,-0.458,0.614,0.0006,8.000,0.000,1,0.000,0.000,0.207,-0.047,0.042,0.068,-0.0731,PLAN,195
10.000,-0.494,0.635,0.0020,8.000,0.000,1,0.000,0.000,-0.129,0.057,0.024,0.031,-0.0767,PLAN,195
10.200,-0.487,0.663,-0.0015,8.000,0.000,1,0.000,0.000,-0.141,0.049,0.005,0.036,-0.0765,PLAN,166
10.400,-0.489,0.673,-0.0001,8.000,0.000,1,0.000,0.000,-0.067,-0.060,0.014,0.033,-0.0790,PLAN,165
10.600,-0.478,0.685,-0.0034,8.000,0.000,1,0.000,0.000,-0.006,-0.074,0.027,0.043,-0.0772,PLAN,163
10.800,-0.491,0.698,-0.0010,8.000,0.000,1,0.000,0.000,-0.061,-0.004,0.039,0.029,-0.0810,PLAN,170
11.000,-0.506,0.727,-0.0039,8.000,0.000,1,0.000,0.000,-0.189,-0.039,0.067,0.011,-0.0814,PLAN,172
11.200,-0.537,0.706,0.0008,8.000,0.000,1,0.000,0.000,-0.123,0.028,0.044,-0.018,-0.0833,PLAN,169
11.400,-0.507,0.726,0.0002,8.000,0.000,1,0.000,0.000,0.135,-0.038,0.066,0.011,-0.0853,PLAN,177
