time_s,truth_x_m,truth_y_m,truth_z_m,lio_x_m,lio_y_m,lio_z_m,lio_xy_drift_m,truth_xy_motion_m,raw_points,filtered_points,registered_points
0.15287106699906872,-536.3378316435213,161.43175971045744,-0.10208259352170776,-0.08065150520792021,0.15968381260494416,0.02403695810272872,0.0,0.0,0,0,7825
1.0022519799986185,-536.3386855191972,161.43092753290145,-0.10770591835534403,-0.04195267718363174,0.168912905756238,0.020545243609351498,0.03978411053233078,0.0011923183947548618,69984,23045,7811
2.0104913849991135,-536.3388697379786,161.4316210962655,-0.11454489572238413,-0.027392147969380613,0.17224953780575972,0.017523066392139786,0.05472162811251865,0.0010473079759198024,69984,23008,7775
3.0182792420000624,-536.3388560041994,161.4329283722452,-0.12808439346985045,-0.027392147969380613,0.17224953780575972,0.017523066392139786,0.05472162811251865,0.0015540544305152923,69984,23008,7775
4.018561901999419,-536.3396061030039,161.43320408229692,-0.13397711988807595,-0.09965576903993113,0.12808533505363193,0.020733318476016616,0.036873104390022025,0.00228799398295641,69984,23165,7816
5.016546135999306,-536.34040069158,161.43231425155065,-0.11142254263650458,-0.038377051282879125,0.10408703449197647,0.015807099569112755,0.06984361954540289,0.0026282168388578595,69984,22934,7730
6.015864058999796,-536.3400523256589,161.43164090138993,-0.08265682536401056,-0.014478638772659442,0.11624613252753366,0.014505595457967905,0.07915605032318329,0.0022238580779214722,69984,22888,7717
7.008024842998566,-536.3391172867628,161.43190188193557,-0.0905608958275473,-0.023039878433039934,0.15080029815591822,0.014434346067340481,0.0582925069679985,0.0012934802949528428,69984,22899,7731
8.011233899000217,-536.339583081864,161.43248009774226,-0.13397913225641425,-0.08480966998978341,0.19929637335960615,0.023334512204143624,0.03983020592333054,0.0018938041367529976,69984,23049,7808
9.00585071400019,-536.3415153496478,161.43247893507495,-0.15270251949790345,-0.06503582086174914,0.13636366283639112,0.019885559187964027,0.028065619231133963,0.003753261898230081,69984,23032,7759
10.017196226999658,-536.3425289256226,161.43218815754167,-0.11763501150381749,-0.06503582086174914,0.13636366283639112,0.019885559187964027,0.028065619231133963,0.004716781322316412,69984,23032,7759
11.00282265199894,-536.3417853984423,161.43211119235016,-0.0762559213069005,-0.021934010108553323,0.11213407976440534,0.010741932266366213,0.0755560806550392,0.003969347238038914,69984,22885,7748
12.011389212999347,-536.3409524865713,161.43210294426657,-0.0881206641153184,-0.0848540186300946,0.16927748828555456,0.021307331938908623,0.010473763990480755,0.0031396609355314724,69984,23031,7827
13.007516218998717,-536.3421424956642,161.431699081699,-0.13185313516861688,-0.11863539146735454,0.20533383887348913,0.02928533993689511,0.059386029617145564,0.004311278469823106,69984,23199,7854
14.000053521000154,-536.3443748356345,161.43119364022115,-0.14739848270796077,-0.033690661705309835,0.14954175228045535,0.021056945662475544,0.04804354493688234,0.006567632643717672,69984,22969,7834
15.01707400899977,-536.3449795665256,161.4313491079455,-0.11303390801717597,0.005801656365273632,0.11090304503611792,0.009348655871021672,0.09926586739964856,0.00715970653711198,69984,22807,7663
16.02355321899995,-536.3439677981897,161.43193922524725,-0.08696470385789984,-0.01682450861431995,0.11847935516261694,0.013224049303583809,0.07597165792106957,0.006138779982571676,69984,22881,7715
17.016807733998576,-536.3438116840749,161.43188433127193,-0.10546858209662903,-0.1408961801239465,0.18170813798783636,0.027987874761588375,0.06414430422343981,0.00598133892786955,69984,23223,7872
18.00863762500012,-536.3456351468711,161.43068554642994,-0.1315431188057339,-0.13561464380165655,0.18263661968697786,0.027888671314350053,0.059563226549770844,0.00787708657362601,69984,23244,7861
19.01580957099941,-536.3470124062442,161.4296571292704,-0.1189451968020855,-0.019746811302030733,0.13692457029455107,0.016006895148904885,0.06501818861144378,0.009418452729688366,69984,22925,7731
20.00673420199928,-536.346274458869,161.42994987014868,-0.09490060122850857,-0.0005156416895965831,0.14321978210659875,0.00817544436992941,0.08180966276716851,0.008634619443684858,69984,22848,7720
