time_s,raw_hz,filtered_hz,odom_hz,registered_hz,structure_hz,raw_obstacle_hz,safety_hz,clock_hz,local_costmap_hz,obstacle_layer_hz,raw_points,filtered_points,registered_points,structure_points,raw_obstacle_points,safety_points,costmap_nonfree_cells,costmap_inscribed_cells,costmap_lethal_cells,obstacle_layer_nonfree_cells,obstacle_layer_lethal_cells,lio_x_m,lio_y_m,lio_z_m,truth_x_m,truth_y_m,truth_z_m,structure_stamp_zero,raw_obstacle_stamp_zero,safety_stamp_zero,ros_clock_s,safety_stamp_s,costmap_stamp_s,safety_age_s,costmap_age_s
1.0000724779965822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan
2.0001918909983942,2.999641803767851,0.0,695.9168984741415,1.9997612025119007,2.999641803767851,5.999283607535702,5.999283607535702,186.9776724348627,0.0,0.0,69984,0,7863,160,3648,3648,0,0,0,0,0,-2.9798408860017265,2.1466026131138567,-0.013582512822048143,nan,nan,nan,1,1,0,9473.84,9473.72,nan,0.12000000000080036,nan
3.0004465779966267,2.9992361335521553,0.9997453778507184,456.8836376777783,1.9994907557014368,1.9994907557014368,2.9992361335521553,2.9992361335521553,162.9584965896671,1.9994907557014368,1.9994907557014368,69984,23852,7826,190,3585,3585,4030,2460,460,460,460,-3.032701541824363,2.253310402548162,-0.09608989943979017,-548.3329561318418,161.4012389145358,-0.0626091130542533,1,1,0,9474.8,9474.74,9474.348,0.05999999999949068,0.45199999999931606
4.000080656998762,4.001464219780223,1.0003660549450557,869.3181017472535,3.0010981648351676,3.0010981648351676,5.001830274725279,5.001830274725279,235.0860229120881,2.0007321098901114,2.0007321098901114,69984,23948,8059,205,3737,3737,4288,2607,459,459,459,-3.0450949399739207,2.2121099154666766,-0.07550233760120496,-548.334206219214,161.40001999204048,-0.10167431754130632,1,1,0,9475.74,9475.424,9475.488,0.31599999999889405,0.25200000000040745
5.00006418999692,5.000082336365043,2.0000329345460175,560.0092216728849,2.0000329345460175,2.0000329345460175,5.000082336365043,5.000082336365043,249.00410035097917,2.0000329345460175,2.0000329345460175,69984,23883,8076,171,3632,3632,4269,2634,451,451,451,-3.042174588548867,2.223320144309401,-0.07088244737694153,-548.3381333118285,161.3984063923267,-0.14486659614757408,1,1,0,9476.736,9476.62,9476.676,0.11599999999998545,0.06000000000130967
6.000072523998824,3.9999666642702016,0.9999916660675504,355.99703312004794,0.9999916660675504,0.9999916660675504,2.999974998202651,2.999974998202651,246.99794151868497,0.9999916660675504,0.9999916660675504,69984,23764,8016,163,3604,3604,4192,2582,434,434,434,-2.9983095983755272,2.2223610619214593,-0.055743926562779836,-548.3407549590789,161.39837169347774,-0.13048576137494605,1,1,0,9477.724,9477.636,9477.276,0.08799999999973807,0.44800000000032014
7.000064892999944,3.0000228931713373,2.000015262114225,511.0038994701845,2.000015262114225,2.000015262114225,3.0000228931713373,3.0000228931713373,236.00180092947855,2.000015262114225,2.000015262114225,69984,23666,8026,169,3635,3635,4077,2484,441,441,441,-2.9897502481415414,2.198479099115306,-0.054062381068989404,-548.3406492281733,161.39937591011557,-0.09785917853578294,1,1,0,9478.668,9478.524,9478.416,0.14400000000023283,0.25200000000040745
8.000070244997914,1.9999892960613472,0.9999946480306736,383.99794484377867,0.9999946480306736,0.9999946480306736,2.999983944092021,2.999983944092021,241.998704823423,1.9999892960613472,1.9999892960613472,69984,23832,8073,160,3671,3671,4226,2617,498,498,498,-3.0295057874524063,2.203905806662644,-0.05137556052791605,-548.3400549348086,161.39984236610013,-0.10041135885513512,1,1,0,9479.636,9479.624,9479.576,0.012000000000625732,0.06000000000130967
9.000061613998696,5.000043155368566,2.0000172621474266,313.00270152607226,1.0000086310737133,1.0000086310737133,4.000034524294853,4.000034524294853,247.00213187520717,1.0000086310737133,1.0000086310737133,69984,24015,8140,189,3702,3702,4248,2615,477,477,477,-3.0512920016477856,2.2141108340476263,-0.06301503786766639,-548.3413660458256,161.39884757837345,-0.12678824791095905,1,1,0,9480.624,9480.42,9480.176,0.2039999999997235,0.44800000000032014
10.000060958998802,5.000003275001617,4.000002620001293,1147.0007512853708,4.000002620001293,4.000002620001293,6.00000393000194,6.00000393000194,243.00015916507857,2.0000013100006466,2.0000013100006466,69984,23753,8054,210,3645,3645,4199,2587,444,444,444,-2.9788915941192133,2.197486415803484,-0.05347948066778872,-548.343461633494,161.3974981327233,-0.12540465931936423,1,1,0,9481.596,9481.52,9481.36,0.07599999999911233,0.23599999999896681
