configuration,source_csv,samples,duration_s,time_step_min_s,time_step_max_s,final_lio_xy_drift_m,max_lio_xy_drift_m,median_lio_xy_drift_m,p95_lio_xy_drift_m,final_aligned_xy_error_m,max_aligned_xy_error_m,rmse_aligned_xy_error_m,min_lio_z_drift_m,max_lio_z_drift_m,max_abs_lio_z_drift_m,median_filtered_points,mean_filtered_points,final_truth_xy_motion_m
before_drift_fix_z_-1.5m,lio_stationary_before_drift_fix_20260827.csv,61,59.914460183000074,0.9155287240000689,1.0189081350000606,0.130878702944253,0.3816268953821857,0.1484516118153096,0.3225587296593608,0.03551833678403105,0.290815408077138,0.14538863436507074,-0.1791975311096881,0.043648718772336545,0.1791975311096881,22257,22201.050847457627,0.11711116316320434
z_-0.5m_initial_after,lio_stationary_after_drift_fix_20260827.csv,61,59.53997479099985,0.532866876999833,1.0208637709999948,0.15141031313052725,0.266197871227699,0.09973667941041639,0.23861393119074126,0.2399801341799476,0.2974564570274954,0.16929933861488036,-0.013254721773868074,0.035215289565473706,0.035215289565473706,20173.0,20191.816666666666,0.10574459958738237
candidate_lidar_cov_0.05,lio_stationary_tune_cov005_20260827.csv,46,44.86426386100038,0.876122862000102,1.0175479149997955,0.14455388712319095,0.4234521790433371,0.1024976091206489,0.17212345349037356,0.22062133489125021,0.41468066765528816,0.1275021330089618,-0.04398435553175652,0.028897005884362184,0.04398435553175652,20371,20349.8,0.07653924031693791
candidate_z_-0.8m,lio_stationary_tune_z08_20260827.csv,46,44.87138259099993,0.8674208480001653,1.0136035430000447,0.2863319371547015,0.2863319371547015,0.08744151313977191,0.2226283525467975,0.22868547938871117,0.2380007590459897,0.11335030921787058,-0.1351513437666306,0.003670022371092898,0.1351513437666306,21088,21132.82222222222,0.05857062488310191
candidate_point_filter_3,lio_stationary_tune_filter3_20260827.csv,46,44.516229576000114,0.5130986969998048,1.0170083100001648,0.18749925115575647,0.44539111367790973,0.13924929714528128,0.2642891419435338,0.10256122278093811,0.4792186113705337,0.16023875604705015,-0.33052387305779635,0.19592785153789705,0.33052387305779635,20512,20504.088888888888,0.0887442217676697
final_optimized_z_-0.5m_filter_2,lio_stationary_final_optimized_20260827.csv,60,59.48875471800011,1.0001010480000332,1.0192510070000935,0.03220218916281026,0.2955854697048765,0.11056870540783625,0.2282728276837961,0.12022226355320446,0.323016976011018,0.1796091764025995,-0.03120337626156591,0.10793139092617514,0.10793139092617514,20603,20621.762711864405,0.111084407108613
