time_s,truth_x_m,truth_y_m,truth_z_m,lio_x_m,lio_y_m,lio_z_m,lio_xy_drift_m,truth_xy_motion_m,raw_points,filtered_points,registered_points
1.4669867060001707,-534.5945142665948,161.6582824893281,-0.10291855056057031,-0.687927812404306,0.7939922807127159,-0.023703995015741136,0.0,0.0,0,22534,7647
1.4861463559991535,-534.5945121144222,161.65827001758424,-0.10173220068808968,-0.687927812404306,0.7939922807127159,-0.023703995015741136,0.0,1.2656075288435712e-05,0,22534,7647
2.002632886998981,-534.5940898143974,161.65814426025773,-0.07719620733244398,-0.6316598055996515,0.7730744897998771,-0.042494108241593526,0.06003034704582244,0.00044639326136066207,69984,22417,7598
3.004865355998845,-534.5923226631706,161.6587015870269,-0.07839389935302164,-0.7826986997040796,0.8844492153847315,-0.01267937107857682,0.13101136633835894,0.0022313154080269583,69984,22699,7760
4.006266684998991,-534.5934040241048,161.65900859907586,-0.14415724452115888,-0.8825003900456232,0.9285189148067015,0.008835666842150602,0.23655000158664868,0.00132660233401097,69984,22855,7874
5.016769943000327,-534.5979232140496,161.65782448852133,-0.17100103863197297,-0.8825003900456232,0.9285189148067015,0.008835666842150602,0.23655000158664868,0.0034395766437736817,69984,22855,7874
6.017951757999981,-534.6005969058518,161.65631594730652,-0.1086950155499821,-0.6516594380034656,0.7287530187936464,-0.040096970765405096,0.07464285818097056,0.006392635438786118,69984,22294,7558
7.000069239998993,-534.599963924358,161.65541517581462,-0.04162799745275825,-0.669080343126667,0.7940798467912457,-0.02371280132620839,0.018847672694252096,0.00615794255576588,69984,22405,7602
8.002121753999745,-534.5985682656238,161.6554965734347,-0.07602061631484461,-0.8178790316810958,0.9291493831552096,-0.012168233136512323,0.18749603124379735,0.004918966913094397,69984,22739,7824
9.004223205000017,-534.6018760052425,161.65558642073992,-0.1718867862082434,-0.9008764242020881,0.9675958244527009,0.01755077059768042,0.2747458856210287,0.007839896794508054,69984,22997,7839
10.004108269999051,-534.6082824880551,161.6549083716758,-0.19288765646080427,-0.7764525668696822,0.8211750807779326,-0.017773166575629547,0.092604194141198,0.014175633746359476,69984,22563,7723
11.017129533000116,-534.6118155666403,161.65389886222806,-0.09588675127451991,-0.6268831694883397,0.6912883297457663,-0.04499328583083136,0.11947614813409173,0.01784800184376742,69984,22049,7461
12.007844297999327,-534.6116097516197,161.6529365656956,-0.01919116210741444,-0.6900595673731155,0.7841110580540467,-0.02797261753385579,0.010108557784236158,0.017911853832530685,69984,22281,7595
13.000122293999084,-534.6113680826052,161.65231732252713,-0.06750576884321581,-0.8855703778471726,0.995501611482588,0.015040661815680674,0.2822562560195248,0.017878320085321187,69984,22763,7682
