t,pose_x,pose_y,pose_yaw,goal_x,goal_y,goal_active,des_vx,des_wz,act_vx,act_wz,crosstrack_err,along_err,heading_err,mode,obstacle_pts
9.800,-0.113,0.262,0.0016,10.000,0.000,1,0.000,0.000,1.807,0.052,0.000,0.000,-0.0275,PLAN,949
10.000,-0.113,0.262,0.0016,10.000,0.000,1,0.000,0.000,1.807,0.052,0.000,0.000,-0.0275,PLAN,949
10.200,-0.113,0.262,0.0016,10.000,0.000,1,0.000,0.000,1.807,0.052,0.000,0.000,-0.0275,PLAN,949
10.400,-0.113,0.262,0.0016,10.000,0.000,1,0.000,0.000,1.807,0.052,0.000,0.000,-0.0275,PLAN,949
10.600,-0.113,0.262,0.0016,10.000,0.000,1,0.000,0.000,1.807,0.052,0.000,0.000,-0.0275,PLAN,949
10.801,-0.058,-0.079,-0.0004,10.000,0.000,1,0.000,0.000,-1.267,0.440,0.340,0.064,0.0082,PLAN,949
11.000,-0.274,0.340,-0.0228,10.000,0.000,1,0.000,0.000,-1.036,-0.040,0.074,-0.163,-0.0103,PLAN,825
11.200,-0.170,-0.084,-0.0267,10.000,0.000,1,0.000,0.000,0.557,-0.188,0.347,-0.048,0.0350,PLAN,825
11.400,0.062,-0.048,-0.0013,10.000,0.000,1,0.000,0.000,1.051,0.094,0.306,0.183,0.0061,PLAN,872
11.600,0.036,-0.051,0.0028,10.000,0.000,1,0.000,0.000,-0.007,0.125,0.310,0.157,0.0023,PLAN,795
11.800,-0.272,-0.234,-0.0245,10.000,0.000,1,0.000,0.000,-1.486,-0.292,0.500,-0.146,0.0473,PLAN,945
12.000,-0.274,0.227,0.0038,10.000,0.000,1,0.000,0.000,0.223,-0.046,0.039,-0.160,-0.0259,PLAN,957
12.200,-0.123,0.163,0.0005,10.000,0.000,1,0.000,0.000,1.290,-0.028,0.100,-0.007,-0.0166,PLAN,980
12.400,-0.061,0.054,-0.0043,10.000,0.000,1,0.000,0.000,0.865,-0.024,0.207,0.058,-0.0011,PLAN,968
12.600,0.181,-0.413,-0.0072,10.000,0.000,1,0.000,0.000,0.537,-0.065,0.667,0.312,0.0492,PLAN,968
12.800,-0.142,-0.057,-0.0113,10.000,0.000,1,0.000,0.000,-1.072,0.068,0.320,-0.020,0.0169,PLAN,968
13.000,-0.240,0.268,0.0026,10.000,0.000,1,0.000,0.000,-0.985,0.083,0.003,-0.127,-0.0288,PLAN,960
13.200,-0.261,0.313,-0.0004,10.000,0.000,1,0.000,0.000,-0.360,0.036,0.047,-0.149,-0.0301,PLAN,972
13.400,-0.180,0.243,0.0099,10.000,0.000,1,0.000,0.000,0.321,0.082,0.021,-0.066,-0.0338,PLAN,989
13.601,-0.219,0.256,0.0183,10.000,0.000,1,0.000,0.000,-0.200,0.286,0.009,-0.105,-0.0433,PLAN,977
13.800,-0.272,0.227,0.0006,10.000,0.000,1,0.000,0.000,-0.349,0.037,0.039,-0.158,-0.0227,PLAN,957
14.000,-0.227,0.287,0.0088,10.000,0.000,1,0.000,0.000,0.169,0.185,0.022,-0.114,-0.0368,PLAN,973
14.200,-0.208,0.284,0.0001,10.000,0.000,1,0.000,0.000,0.269,-0.098,0.019,-0.096,-0.0279,PLAN,957
14.400,-0.141,0.263,-0.0010,10.000,0.000,1,0.000,0.000,0.416,-0.038,0.000,-0.028,-0.0249,PLAN,957
14.600,-0.154,0.254,-0.0007,10.000,0.000,1,0.000,0.000,0.108,-0.011,0.009,-0.041,-0.0243,PLAN,976
14.800,-0.154,0.247,0.0015,10.000,0.000,1,0.000,0.000,0.075,-0.114,0.016,-0.040,-0.0258,PLAN,978
15.000,-0.157,0.246,0.0006,10.000,0.000,1,0.000,0.000,-0.007,-0.018,0.017,-0.043,-0.0249,PLAN,978
15.200,-0.157,0.246,0.0006,10.000,0.000,1,0.000,0.000,-0.007,-0.018,0.017,-0.043,-0.0249,PLAN,978
15.400,-0.042,0.181,0.0028,10.000,0.000,1,0.000,0.000,0.426,-0.039,0.079,0.073,-0.0208,PLAN,1002
15.600,-0.053,0.192,0.0031,10.000,0.000,1,0.000,0.000,0.171,-0.012,0.069,0.062,-0.0222,PLAN,942
15.800,-0.053,0.192,0.0031,10.000,0.000,1,0.000,0.000,0.171,-0.012,0.069,0.062,-0.0222,PLAN,942
16.000,-0.053,0.192,0.0031,10.000,0.000,1,0.000,0.000,0.171,-0.012,0.069,0.062,-0.0222,PLAN,942
16.200,-0.019,0.068,-0.0027,10.000,0.000,1,0.000,0.000,-0.132,-0.020,0.192,0.099,-0.0040,PLAN,942
16.400,-0.055,0.075,-0.0027,10.000,0.000,1,0.000,0.000,-0.275,-0.048,0.186,0.063,-0.0047,PLAN,884
16.600,-0.048,0.077,-0.0028,10.000,0.000,1,0.000,0.000,0.028,-0.043,0.183,0.070,-0.0049,PLAN,857
16.800,-0.042,0.083,-0.0019,10.000,0.000,1,0.000,0.000,-0.009,0.070,0.178,0.076,-0.0063,PLAN,874
17.000,-0.076,0.119,-0.0205,10.000,0.000,1,0.000,0.000,-0.304,0.056,0.142,0.041,0.0087,PLAN,893
17.200,-0.066,0.042,-0.0095,10.000,0.000,1,0.000,0.000,-0.029,0.075,0.219,0.053,0.0053,PLAN,893
17.400,-0.084,0.096,-0.0003,10.000,0.000,1,0.000,0.000,-0.120,-0.067,0.166,0.034,-0.0092,PLAN,932
17.600,-0.084,0.096,-0.0003,10.000,0.000,1,0.000,0.000,-0.120,-0.067,0.166,0.034,-0.0092,PLAN,932
17.800,-0.084,0.096,-0.0003,10.000,0.000,1,0.000,0.000,-0.120,-0.067,0.166,0.034,-0.0092,PLAN,932
18.001,-0.171,0.150,-0.0003,10.000,0.000,1,0.000,0.000,-0.137,0.022,0.113,-0.055,-0.0145,PLAN,932
18.200,-0.188,0.136,0.0012,10.000,0.000,1,0.000,0.000,-0.223,0.015,0.128,-0.071,-0.0146,PLAN,932
18.400,-0.178,0.174,-0.0071,10.000,0.000,1,0.000,0.000,0.210,-0.076,0.089,-0.062,-0.0101,PLAN,966
18.600,-0.168,0.170,0.0015,10.000,0.000,1,0.000,0.000,0.150,0.057,0.094,-0.053,-0.0182,PLAN,977
18.800,-0.194,0.199,-0.0018,10.000,0.000,1,0.000,0.000,0.003,0.077,0.065,-0.080,-0.0177,PLAN,969
19.000,-0.201,0.187,0.0016,10.000,0.000,1,0.000,0.000,-0.013,-0.012,0.077,-0.086,-0.0199,PLAN,983
19.200,-0.200,0.197,0.0036,10.000,0.000,1,0.000,0.000,-0.001,0.038,0.068,-0.086,-0.0229,PLAN,978
19.400,-0.184,0.214,0.0032,10.000,0.000,1,0.000,0.000,0.125,0.017,0.050,-0.069,-0.0242,PLAN,983
19.600,-0.144,0.228,0.0037,10.000,0.000,1,0.000,0.000,0.384,0.103,0.035,-0.030,-0.0262,PLAN,998
19.801,-0.155,0.220,-0.0019,10.000,0.000,1,0.000,0.000,0.138,0.011,0.043,-0.041,-0.0198,PLAN,982
20.001,-0.137,0.223,-0.0000,10.000,0.000,1,0.000,0.000,0.088,0.004,0.040,-0.023,-0.0220,PLAN,983
20.200,-0.153,0.216,0.0002,10.000,0.000,1,0.000,0.000,-0.086,-0.063,0.048,-0.038,-0.0214,PLAN,995
20.400,-0.069,0.208,-0.0037,10.000,0.000,1,0.000,0.000,0.450,0.100,0.053,0.045,-0.0170,PLAN,995
20.600,-0.087,0.190,-0.0009,10.000,0.000,1,0.000,0.000,0.058,-0.033,0.072,0.028,-0.0179,PLAN,966
20.800,-0.104,0.195,-0.0048,10.000,0.000,1,0.000,0.000,-0.107,0.028,0.067,0.011,-0.0145,PLAN,973
21.000,-0.082,0.189,-0.0071,10.000,0.000,1,0.000,0.000,0.083,-0.070,0.073,0.034,-0.0116,PLAN,954
21.200,-0.065,0.182,-0.0039,10.000,0.000,1,0.000,0.000,0.162,-0.161,0.079,0.050,-0.0142,PLAN,947
21.400,-0.067,0.172,0.0008,10.000,0.000,1,0.000,0.000,0.089,0.042,0.089,0.049,-0.0179,PLAN,943
21.600,-0.073,0.169,-0.0009,10.000,0.000,1,0.000,0.000,0.009,-0.076,0.092,0.043,-0.0159,PLAN,951
21.800,-0.071,0.157,0.0006,10.000,0.000,1,0.000,0.000,0.052,0.052,0.104,0.045,-0.0162,PLAN,943
22.000,-0.063,0.155,-0.0001,10.000,0.000,1,0.000,0.000,0.080,0.027,0.105,0.053,-0.0154,PLAN,931
22.201,-0.061,0.145,0.0010,10.000,0.000,1,0.000,0.000,0.027,0.003,0.116,0.055,-0.0154,PLAN,936
22.401,-0.063,0.105,-0.0022,10.000,0.000,1,0.000,0.000,-0.068,0.010,0.156,0.054,-0.0082,PLAN,935
22.600,-0.109,0.151,0.0007,10.000,0.000,1,0.000,0.000,-0.106,0.006,0.111,0.007,-0.0156,PLAN,941
22.800,-0.119,0.176,-0.0004,10.000,0.000,1,0.000,0.000,-0.026,-0.001,0.086,-0.003,-0.0169,PLAN,945
23.000,-0.116,0.124,-0.0029,10.000,0.000,1,0.000,0.000,0.051,0.135,0.138,0.001,-0.0093,PLAN,946
23.201,-0.119,0.133,-0.0059,10.000,0.000,1,0.000,0.000,0.021,-0.011,0.130,-0.003,-0.0072,PLAN,957
23.400,-0.162,0.142,0.0001,10.000,0.000,1,0.000,0.000,-0.235,-0.041,0.122,-0.046,-0.0140,PLAN,950
23.600,-0.162,0.142,0.0001,10.000,0.000,1,0.000,0.000,-0.235,-0.041,0.122,-0.046,-0.0140,PLAN,950
23.800,-0.162,0.142,0.0001,10.000,0.000,1,0.000,0.000,-0.235,-0.041,0.122,-0.046,-0.0140,PLAN,950
24.000,-0.175,0.155,0.0018,10.000,0.000,1,0.000,0.000,0.070,0.041,0.108,-0.059,-0.0171,PLAN,950
24.200,-0.194,0.158,-0.0014,10.000,0.000,1,0.000,0.000,-0.102,0.037,0.106,-0.078,-0.0141,PLAN,961
24.400,-0.177,0.163,-0.0029,10.000,0.000,1,0.000,0.000,0.093,-0.006,0.101,-0.061,-0.0131,PLAN,971
24.600,-0.178,0.161,-0.0037,10.000,0.000,1,0.000,0.000,-0.001,-0.045,0.103,-0.062,-0.0121,PLAN,968
24.800,-0.174,0.149,-0.0019,10.000,0.000,1,0.000,0.000,0.034,0.042,0.115,-0.058,-0.0127,PLAN,968
25.000,-0.174,0.149,-0.0019,10.000,0.000,1,0.000,0.000,0.034,0.042,0.115,-0.058,-0.0127,PLAN,968
25.200,-0.125,0.171,-0.0048,10.000,0.000,1,0.000,0.000,0.148,-0.088,0.091,-0.009,-0.0121,PLAN,976
25.400,-0.110,0.165,0.0102,10.000,0.000,1,0.000,0.000,0.196,0.043,0.097,0.006,-0.0265,PLAN,943
25.600,-0.112,0.155,0.0086,10.000,0.000,1,0.000,0.000,0.107,-0.057,0.107,0.004,-0.0240,PLAN,948
25.800,-0.079,0.099,0.0019,10.000,0.000,1,0.000,0.000,0.045,-0.111,0.163,0.038,-0.0117,PLAN,948
26.000,-0.090,0.161,-0.0005,10.000,0.000,1,0.000,0.000,0.222,0.134,0.100,0.025,-0.0154,PLAN,955
26.200,-0.085,0.169,-0.0007,10.000,0.000,1,0.000,0.000,0.004,0.035,0.093,0.031,-0.0160,PLAN,935
26.400,-0.080,0.167,-0.0003,10.000,0.000,1,0.000,0.000,-0.036,0.002,0.094,0.035,-0.0163,PLAN,940
26.600,-0.086,0.177,-0.0002,10.000,0.000,1,0.000,0.000,-0.035,-0.054,0.084,0.029,-0.0173,PLAN,953
26.800,-0.088,0.205,0.0008,10.000,0.000,1,0.000,0.000,0.028,-0.013,0.057,0.026,-0.0211,PLAN,958
27.000,-0.081,0.191,-0.0006,10.000,0.000,1,0.000,0.000,0.031,0.052,0.071,0.034,-0.0183,PLAN,944
27.200,-0.081,0.191,-0.0006,10.000,0.000,1,0.000,0.000,0.031,0.052,0.071,0.034,-0.0183,PLAN,944
27.400,-0.081,0.191,-0.0006,10.000,0.000,1,0.000,0.000,0.031,0.052,0.071,0.034,-0.0183,PLAN,944
27.600,-0.081,0.191,-0.0006,10.000,0.000,1,0.000,0.000,0.031,0.052,0.071,0.034,-0.0183,PLAN,944
27.800,-0.134,0.187,0.0006,10.000,0.000,1,0.000,0.000,-0.152,0.071,0.076,-0.018,-0.0190,PLAN,950
28.000,-0.134,0.187,0.0006,10.000,0.000,1,0.000,0.000,-0.152,0.071,0.076,-0.018,-0.0190,PLAN,950
28.200,-0.149,0.211,0.0002,10.000,0.000,1,0.000,0.000,0.079,0.123,0.052,-0.035,-0.0211,PLAN,950
28.400,-0.147,0.194,0.0018,10.000,0.000,1,0.000,0.000,0.059,-0.039,0.069,-0.032,-0.0210,PLAN,964
28.600,-0.155,0.195,-0.0008,10.000,0.000,1,0.000,0.000,-0.050,-0.080,0.069,-0.040,-0.0183,PLAN,954
28.800,-0.143,0.182,0.0036,10.000,0.000,1,0.000,0.000,0.094,-0.013,0.081,-0.028,-0.0216,PLAN,954
29.000,-0.163,0.178,0.0002,10.000,0.000,1,0.000,0.000,-0.208,-0.083,0.085,-0.048,-0.0177,PLAN,954
29.200,-0.163,0.178,0.0002,10.000,0.000,1,0.000,0.000,-0.208,-0.083,0.085,-0.048,-0.0177,PLAN,954
29.400,-0.163,0.178,0.0002,10.000,0.000,1,0.000,0.000,-0.208,-0.083,0.085,-0.048,-0.0177,PLAN,954
29.600,-0.163,0.178,0.0002,10.000,0.000,1,0.000,0.000,-0.208,-0.083,0.085,-0.048,-0.0177,PLAN,954
29.800,-0.163,0.178,0.0002,10.000,0.000,1,0.000,0.000,-0.208,-0.083,0.085,-0.048,-0.0177,PLAN,954
30.000,-0.163,0.178,0.0002,10.000,0.000,1,0.000,0.000,-0.208,-0.083,0.085,-0.048,-0.0177,PLAN,954
30.200,-0.289,-0.037,-0.0023,10.000,0.000,1,0.000,0.000,0.072,-0.021,0.304,-0.168,0.0059,PLAN,954
30.400,-0.169,0.116,0.0012,10.000,0.000,1,0.000,0.000,1.647,0.026,0.148,-0.052,-0.0126,PLAN,988
30.600,-0.031,0.212,-0.0041,10.000,0.000,1,0.000,0.000,0.391,-0.024,0.048,0.083,-0.0171,PLAN,945
30.800,-0.050,0.074,-0.0043,10.000,0.000,1,0.000,0.000,-0.198,-0.009,0.186,0.069,-0.0031,PLAN,945
31.000,-0.105,0.124,0.0006,10.000,0.000,1,0.000,0.000,-0.300,-0.035,0.138,0.012,-0.0128,PLAN,953
31.200,-0.095,0.153,-0.0030,10.000,0.000,1,0.000,0.000,-0.051,-0.125,0.109,0.021,-0.0121,PLAN,962
31.401,-0.086,0.142,-0.0111,10.000,0.000,1,0.000,0.000,0.024,0.046,0.120,0.030,-0.0030,PLAN,932
31.600,-0.079,0.138,-0.0031,10.000,0.000,1,0.000,0.000,-0.037,-0.054,0.124,0.037,-0.0105,PLAN,959
31.800,-0.084,0.156,-0.0012,10.000,0.000,1,0.000,0.000,-0.007,-0.051,0.105,0.032,-0.0143,PLAN,943
32.000,-0.085,0.135,-0.0006,10.000,0.000,1,0.000,0.000,-0.043,-0.004,0.127,0.032,-0.0128,PLAN,956
32.200,-0.086,0.141,-0.0023,10.000,0.000,1,0.000,0.000,-0.026,0.067,0.121,0.030,-0.0117,PLAN,942
32.400,-0.099,0.169,-0.0011,10.000,0.000,1,0.000,0.000,-0.070,-0.013,0.092,0.016,-0.0156,PLAN,942
32.600,-0.120,0.172,-0.0004,10.000,0.000,1,0.000,0.000,-0.142,-0.010,0.090,-0.005,-0.0166,PLAN,963
32.801,-0.124,0.175,-0.0010,10.000,0.000,1,0.000,0.000,-0.038,-0.014,0.087,-0.009,-0.0163,PLAN,957
33.000,-0.139,0.191,-0.0024,10.000,0.000,1,0.000,0.000,-0.133,0.060,0.072,-0.024,-0.0164,PLAN,956
33.200,-0.139,0.191,-0.0024,10.000,0.000,1,0.000,0.000,-0.133,0.060,0.072,-0.024,-0.0164,PLAN,956
33.400,-0.139,0.191,-0.0024,10.000,0.000,1,0.000,0.000,-0.133,0.060,0.072,-0.024,-0.0164,PLAN,956
33.600,-0.139,0.191,-0.0024,10.000,0.000,1,0.000,0.000,-0.133,0.060,0.072,-0.024,-0.0164,PLAN,956
33.800,-0.250,0.329,0.0014,10.000,0.000,1,0.000,0.000,-0.142,-0.001,0.064,-0.139,-0.0335,PLAN,956
34.000,-0.095,0.270,0.0017,10.000,0.000,1,0.000,0.000,-0.688,-0.194,0.009,0.018,-0.0285,PLAN,864
34.200,-0.292,-0.112,-0.0037,10.000,0.000,1,0.000,0.000,-0.655,0.007,0.379,-0.169,0.0146,PLAN,987
34.400,-0.258,0.224,-0.0001,10.000,0.000,1,0.000,0.000,0.236,-0.030,0.042,-0.144,-0.0217,PLAN,966
34.600,-0.258,0.224,-0.0001,10.000,0.000,1,0.000,0.000,0.236,-0.030,0.042,-0.144,-0.0217,PLAN,966
34.800,-0.258,0.224,-0.0001,10.000,0.000,1,0.000,0.000,0.236,-0.030,0.042,-0.144,-0.0217,PLAN,966
35.000,-0.258,0.224,-0.0001,10.000,0.000,1,0.000,0.000,0.236,-0.030,0.042,-0.144,-0.0217,PLAN,966
35.200,-0.258,0.224,-0.0001,10.000,0.000,1,0.000,0.000,0.236,-0.030,0.042,-0.144,-0.0217,PLAN,966
35.400,-0.021,0.135,-0.0034,10.000,0.000,1,0.000,0.000,0.359,-0.044,0.125,0.096,-0.0101,PLAN,966
