t,pose_x,pose_y,pose_yaw,goal_x,goal_y,goal_active,des_vx,des_wz,act_vx,act_wz,crosstrack_err,along_err,heading_err,mode,obstacle_pts
9.800,-0.353,0.434,0.0010,0.000,0.000,0,0.000,0.000,0.071,0.042,0.000,0.000,0.0000,PLAN,215
10.000,-0.424,0.489,0.0003,0.000,0.000,0,0.000,0.000,-0.065,-0.004,0.000,0.000,0.0000,PLAN,215
10.200,-0.394,0.498,0.0008,0.000,0.000,0,0.000,0.000,0.185,0.001,0.000,0.000,0.0000,PLAN,224
10.400,-0.394,0.498,0.0008,0.000,0.000,0,0.000,0.000,0.185,0.001,0.000,0.000,0.0000,PLAN,224
10.600,-0.462,0.575,-0.0034,0.000,0.000,0,0.000,0.000,-0.204,-0.005,0.000,0.000,0.0000,PLAN,224
10.801,-0.454,0.566,0.0007,0.000,0.000,0,0.000,0.000,0.155,0.028,0.000,0.000,0.0000,PLAN,193
11.000,-0.490,0.585,0.0016,0.000,0.000,0,0.000,0.000,-0.058,0.105,0.000,0.000,0.0000,PLAN,193
11.200,-0.469,0.595,0.0001,0.000,0.000,0,0.000,0.000,0.110,-0.019,0.000,0.000,0.0000,PLAN,184
11.400,-0.469,0.595,0.0001,0.000,0.000,0,0.000,0.000,0.110,-0.019,0.000,0.000,0.0000,PLAN,184
11.601,-0.467,0.611,0.0006,0.000,0.000,0,0.000,0.000,0.125,0.007,0.000,0.000,0.0000,PLAN,182
11.801,-0.449,0.614,-0.0009,0.000,0.000,0,0.000,0.000,0.217,-0.006,0.000,0.000,0.0000,PLAN,179
12.001,-0.433,0.609,-0.0009,0.000,0.000,0,0.000,0.000,0.258,-0.023,0.000,0.000,0.0000,PLAN,171
12.200,-0.431,0.575,-0.0007,0.000,0.000,0,0.000,0.000,0.064,-0.012,0.000,0.000,0.0000,PLAN,169
12.400,-0.419,0.593,-0.0031,0.000,0.000,0,0.000,0.000,0.024,-0.016,0.000,0.000,0.0000,PLAN,164
12.600,-0.398,0.542,0.0002,0.000,0.000,0,0.000,0.000,0.057,0.005,0.000,0.000,0.0000,PLAN,165
