wall_time,sim_time,topic,frame_id,tf_ok,total_points,danger_points,expanded_box_points,nearest_xy_m,danger_sectors,raw_clean_streak,result
2026-08-30T11:51:19+0800,0.000,/usv/raw_obstacle_cloud,wamv/wamv/base_link,1,3174,0,0,8.110,0,1,clean
2026-08-30T11:51:19+0800,0.000,/usv/raw_obstacle_cloud,wamv/wamv/base_link,1,3180,0,0,8.088,0,2,clean
2026-08-30T11:51:19+0800,0.000,/usv/structure_map_cloud,camera_init,0,0,0,0,,0,,blocked
2026-08-30T11:51:20+0800,0.000,/usv/structure_map_cloud,camera_init,0,0,0,0,,0,,blocked
2026-08-30T11:51:20+0800,0.000,/usv/raw_obstacle_cloud,wamv/wamv/base_link,1,3193,0,0,8.090,0,3,clean
2026-08-30T11:51:20+0800,39.464,/usv/raw_obstacle_cloud,wamv/wamv/base_link,1,3170,0,0,8.097,0,4,clean
2026-08-30T11:51:20+0800,39.480,/usv/structure_map_cloud,camera_init,0,0,0,0,,0,,blocked
2026-08-30T11:51:20+0800,39.804,/usv/raw_obstacle_cloud,wamv/wamv/base_link,1,3104,0,0,8.085,0,5,PASS
