t,pose_x,pose_y,pose_yaw,goal_x,goal_y,goal_active,goal_status,plan_id,plan_nearest_error_m,raw_obstacle_points,dynamic_obstacle_points,safety_stop
14.000,-0.5164,0.5988,0.00161,,,0,IDLE code=0; status_seq=1,0,,4369,0,1
14.200,-0.5164,0.5988,0.00161,,,0,IDLE code=0; status_seq=1,0,,4369,0,1
14.400,-0.5164,0.5988,0.00161,,,0,IDLE code=0; status_seq=1,0,,4369,0,1
14.600,-0.5164,0.5988,0.00161,,,0,IDLE code=0; status_seq=1,0,,4369,0,1
14.800,-0.5066,0.6176,-0.00216,,,0,IDLE code=0; status_seq=1,0,,4564,0,1
15.001,-0.5023,0.6171,0.00090,,,0,IDLE code=0; status_seq=1,0,,4564,0,1
15.200,-0.5003,0.6169,0.00133,,,0,IDLE code=0; status_seq=1,0,,4564,0,1
15.400,-0.4996,0.6174,-0.00401,,,0,IDLE code=0; status_seq=1,0,,4564,0,1
15.600,-0.4949,0.6125,-0.00269,,,0,IDLE code=0; status_seq=1,0,,4564,0,1
15.800,-0.4933,0.6109,0.00143,,,0,IDLE code=0; status_seq=1,0,,4563,0,1
16.000,-0.4927,0.6065,0.00201,,,0,IDLE code=0; status_seq=1,0,,4563,0,1
16.201,-0.4925,0.6033,0.00162,,,0,IDLE code=0; status_seq=1,0,,4563,0,1
16.400,-0.4925,0.6005,0.00215,,,0,IDLE code=0; status_seq=1,0,,4563,0,1
16.601,-0.4955,0.5965,-0.00110,,,0,IDLE code=0; status_seq=1,0,,4563,0,1
16.800,-0.4947,0.5961,0.00216,,,0,IDLE code=0; status_seq=1,0,,4563,0,1
17.001,-0.4947,0.5961,0.00216,,,0,IDLE code=0; status_seq=1,0,,4614,0,1
17.200,-0.5028,0.5821,0.00244,,,0,IDLE code=0; status_seq=1,0,,4614,0,1
17.400,-0.5085,0.5741,-0.00246,,,0,IDLE code=0; status_seq=1,0,,4614,0,1
17.600,-0.5111,0.5691,-0.00214,,,0,IDLE code=0; status_seq=1,0,,4614,0,1
17.801,-0.5098,0.5684,0.00240,,,0,IDLE code=0; status_seq=1,0,,4614,0,1
18.000,-0.5139,0.5638,-0.00371,,,0,IDLE code=0; status_seq=1,0,,4614,0,1
18.200,-0.5125,0.5628,0.00107,,,0,IDLE code=0; status_seq=1,0,,4602,0,1
18.400,-0.5147,0.5593,0.00230,,,0,IDLE code=0; status_seq=1,0,,4602,0,1
18.600,-0.5165,0.5583,-0.00147,,,0,IDLE code=0; status_seq=1,0,,4602,0,1
18.800,-0.5159,0.5585,-0.00380,,,0,IDLE code=0; status_seq=1,0,,4602,0,1
19.000,-0.5151,0.5595,-0.00211,,,0,IDLE code=0; status_seq=1,0,,4602,0,1
19.200,-0.5147,0.5607,-0.00175,,,0,IDLE code=0; status_seq=1,0,,4520,0,1
19.400,-0.5135,0.5615,-0.00050,,,0,IDLE code=0; status_seq=1,0,,4520,0,1
19.600,-0.5130,0.5631,0.00091,,,0,IDLE code=0; status_seq=1,0,,4520,0,1
19.800,-0.5104,0.5637,0.00147,,,0,IDLE code=0; status_seq=1,0,,4520,0,1
20.001,-0.5104,0.5637,0.00147,,,0,IDLE code=0; status_seq=1,0,,4520,0,1
20.200,-0.5053,0.5684,-0.00518,,,0,IDLE code=0; status_seq=1,0,,4520,0,1
20.400,-0.5036,0.5745,0.00144,,,0,IDLE code=0; status_seq=1,0,,4520,0,1
20.600,-0.5036,0.5745,0.00144,,,0,IDLE code=0; status_seq=1,0,,4472,0,1
20.800,-0.5036,0.5745,0.00144,,,0,IDLE code=0; status_seq=1,0,,4472,0,1
21.000,-0.5036,0.5745,0.00144,,,0,IDLE code=0; status_seq=1,0,,4472,0,1
21.201,-0.5036,0.5745,0.00144,,,0,IDLE code=0; status_seq=1,0,,4472,0,1
21.400,-0.5072,0.6173,0.00068,,,0,IDLE code=0; status_seq=1,0,,4472,0,1
21.600,-0.5072,0.6173,0.00068,,,0,IDLE code=0; status_seq=1,0,,4412,0,1
21.800,-0.5143,0.6231,0.00003,,,0,IDLE code=0; status_seq=1,0,,4412,0,1
22.000,-0.5130,0.6218,-0.00010,,,0,IDLE code=0; status_seq=1,0,,4412,0,1
22.200,-0.5130,0.6226,0.00224,,,0,IDLE code=0; status_seq=1,0,,4412,0,1
22.400,-0.5130,0.6226,0.00224,,,0,IDLE code=0; status_seq=1,0,,4412,0,1
22.600,-0.5130,0.6226,0.00224,,,0,IDLE code=0; status_seq=1,0,,4412,0,1
22.801,-0.5130,0.6226,0.00224,,,0,IDLE code=0; status_seq=1,0,,4459,0,1
23.000,-0.5302,0.6052,-0.00019,,,0,IDLE code=0; status_seq=1,0,,4459,0,1
23.200,-0.5257,0.5896,0.00197,,,0,IDLE code=0; status_seq=1,0,,4459,0,1
23.400,-0.5312,0.5798,0.00123,,,0,IDLE code=0; status_seq=1,0,,4459,0,1
