t,source,point_index,x,y,z
0.924,raw,0,-5.8527,-5.4177,0.5966
0.924,raw,10,-5.7151,-5.6352,0.5869
0.924,raw,20,-5.5547,-5.8316,0.5806
0.924,raw,30,-5.4378,-6.0884,0.5629
0.924,raw,40,-5.2702,-6.2888,0.5547
0.924,raw,50,-5.1113,-6.5080,0.5427
0.924,raw,60,-4.9367,-6.7128,0.5325
0.924,raw,70,-4.7850,-6.9632,0.5142
0.924,raw,80,-4.5979,-7.1674,0.5029
0.924,raw,90,-6.2945,-6.1303,0.7053
0.924,raw,100,-6.1056,-6.3259,0.7026
0.924,raw,110,-5.9554,-6.5724,0.6916
0.924,raw,120,-5.8166,-6.8433,0.6767
0.924,raw,130,-5.6469,-7.0839,0.6658
0.924,raw,140,-5.4794,-7.3378,0.6525
0.924,raw,150,-5.2840,-7.5602,0.6432
0.924,raw,160,-5.1000,-7.8115,0.6293
0.924,raw,170,-4.9303,-8.1036,0.6095
0.924,raw,180,-4.7334,-8.3645,0.5935
0.924,raw,190,-4.2372,-8.0172,0.6552
0.924,raw,200,-3.9884,-8.1541,0.6529
0.924,raw,210,-4.0858,-9.1427,0.5426
0.924,raw,220,-3.8641,-9.4366,0.5202
0.924,raw,230,-6.9874,-6.5501,0.8562
0.924,raw,240,-6.8635,-6.8516,0.8433
0.924,raw,250,-6.7130,-7.1342,0.8327
0.924,raw,260,-6.5358,-7.3942,0.8244
0.924,raw,270,-6.3532,-7.6559,0.8154
0.924,raw,280,-6.2002,-7.9700,0.8002
0.924,raw,290,-6.0167,-8.2554,0.7879
0.924,raw,300,-5.8227,-8.5389,0.7754
0.924,raw,310,-5.6304,-8.8413,0.7606
0.924,raw,320,-5.4183,-9.1270,0.7471
0.924,raw,330,-5.1625,-9.3453,0.7402
0.924,raw,340,-4.1746,-8.0171,0.8908
0.924,raw,350,-3.9381,-8.1808,0.8861
0.924,raw,360,-4.4496,-10.2154,0.6940
0.924,raw,370,-4.2016,-10.5350,0.6746
0.924,raw,380,-3.9571,-10.9039,0.6499
0.924,raw,390,-3.6621,-11.1604,0.6357
0.924,raw,400,-3.3944,-11.5518,0.6077
0.924,raw,410,-3.1636,-12.1694,0.5577
0.924,raw,420,-2.8747,-12.6650,0.5189
0.924,raw,430,-8.0094,-6.8426,1.0325
0.924,raw,440,-7.8821,-7.1693,1.0229
0.924,raw,450,-7.7025,-7.4517,1.0173
0.924,raw,460,-7.5729,-7.7987,1.0055
0.924,raw,470,-7.3983,-8.1071,0.9971
0.924,raw,480,-7.2133,-8.4138,0.9885
0.924,raw,490,-7.0104,-8.7087,0.9807
0.924,raw,500,-6.8118,-9.0219,0.9710
0.924,raw,510,-6.5619,-9.2711,0.9663
0.924,raw,520,-6.3553,-9.5998,0.9547
0.924,raw,530,-6.1468,-9.9452,0.9414
