wall_time,sim_time,event,camera_x,camera_y,world_x,world_y,detail
2026-09-01T19:44:29+0800,4532.276,transform_frozen,0.000,0.000,-531.415,162.789,"tx=-531.414960; ty=162.788891; yaw=1.000000; boat_world=(-537.6904465052633, 166.8058046218315); boat_camera=(-0.010543463373248593, 7.450987434192177)"
2026-09-01T19:44:30+0800,4532.276,spawned,10.000,0.000,-526.012,171.204,speed=0.600 m/s; update_hz=5.0
2026-09-01T19:44:30+0800,4532.276,static_ready,10.000,0.000,-526.012,171.204,static obstacle ready; no motion loop
