wall_time,sim_time,topic,frame_id,tf_ok,total_points,danger_points,expanded_box_points,nearest_xy_m,danger_sectors,raw_clean_streak,result
2026-08-29T20:52:28+0800,0.000,/usv/raw_obstacle_cloud,wamv/wamv/base_link,1,3147,0,0,8.090,0,1,clean
2026-08-29T20:52:29+0800,0.000,/usv/raw_obstacle_cloud,wamv/wamv/base_link,1,3120,0,0,8.097,0,2,clean
2026-08-29T20:52:29+0800,0.000,/usv/raw_obstacle_cloud,wamv/wamv/base_link,1,3104,0,0,8.079,0,3,clean
2026-08-29T20:52:29+0800,0.000,/usv/structure_map_cloud,camera_init,0,0,0,0,,0,,blocked
2026-08-29T20:52:29+0800,0.000,/usv/raw_obstacle_cloud,wamv/wamv/base_link,1,3066,0,0,8.079,0,4,clean
2026-08-29T20:52:29+0800,0.000,/usv/raw_obstacle_cloud,wamv/wamv/base_link,1,3040,0,0,8.093,0,5,PASS
