wall_time,sim_time,topic,frame_id,tf_ok,total_points,danger_points,expanded_box_points,nearest_xy_m,danger_sectors,raw_clean_streak,result
2026-08-29T16:32:48+0800,0.000,/usv/structure_map_cloud,camera_init,1,964,0,0,8.435,0,,clean
2026-08-29T16:32:48+0800,57.528,/usv/raw_obstacle_cloud,wamv/wamv/base_link,1,3638,0,0,7.578,0,1,clean
2026-08-29T16:32:48+0800,57.628,/usv/raw_obstacle_cloud,wamv/wamv/base_link,1,3663,0,0,7.558,0,2,clean
2026-08-29T16:32:49+0800,57.728,/usv/raw_obstacle_cloud,wamv/wamv/base_link,1,3682,0,0,7.544,0,3,clean
2026-08-29T16:32:49+0800,57.884,/usv/structure_map_cloud,camera_init,1,974,0,0,8.422,0,,clean
2026-08-29T16:32:49+0800,57.996,/usv/structure_map_cloud,camera_init,1,989,0,0,8.409,0,,clean
2026-08-29T16:32:49+0800,58.096,/usv/structure_map_cloud,camera_init,1,1007,0,0,8.401,0,,clean
2026-08-29T16:32:49+0800,58.224,/usv/raw_obstacle_cloud,wamv/wamv/base_link,1,3584,0,0,7.427,0,4,clean
2026-08-29T16:32:49+0800,58.376,/usv/structure_map_cloud,camera_init,1,1021,0,0,8.386,0,,clean
2026-08-29T16:32:49+0800,58.520,/usv/raw_obstacle_cloud,wamv/wamv/base_link,1,3592,0,0,7.321,0,5,PASS
