run_id,tracker,world,goal_camera_init,rows,recorded_s,final_status,result_code,accepted_t_s,succeeded_t_s,final_x,final_y,final_goal_error_m,min_goal_error_m,max_crosstrack_m,p95_crosstrack_m,mean_crosstrack_m,min_path_clearance_m,max_path_length_m,left_peak_N,right_peak_N,left_nonzero_samples,right_nonzero_samples,terminal_left_N,terminal_right_N,terminal_thrust_zero,safety_stop_samples,max_dynamic_tracks,max_dynamic_points,max_dynamic_speed_mps,obstacle_start_camera,obstacle_end_camera,obstacle_config_speed_mps,obstacle_update_hz,obstacle_motion_duration_s,obstacle_spawn_wall_time,obstacle_complete_wall_time,raw_csv,events_csv
dynamic_ab_tracker_disabled_dynamic_20260829_2050_disabled,tracker_disabled,sydney_regatta,"(10.0, 0.0, 0.0)",471,94.401,SUCCEEDED code=4,4,6.4,58.8,9.743,0.351,0.4350287346831239,0.2975583976297756,1.158,0.989,0.39262131519274374,1.4,13.717,63.874,57.145,239,238,0.000,0.000,true,0,0.0,0.0,0.0,"(6.5, -6.0)","(6.5, 6.0)",0.6,5.0,20.284,2026-08-29T20:47:14+0800,2026-08-29T20:47:46+0800,report3/data/dynamic_ab_tracker_disabled_dynamic_20260829_2050_disabled.csv,report3/data/dynamic_ab_tracker_disabled_dynamic_20260829_2050_disabled_obstacle_events.csv
dynamic_ab_tracker_enabled_dynamic_20260829_2120_enabled,tracker_enabled,sydney_regatta,"(10.0, 0.0, 0.0)",952,190.401,SUCCEEDED code=4,4,6.8,75.0,9.893,0.484,0.49568639279286236,0.22128940327092045,0.79,0.624,0.17599020674646354,1.503,13.911,64.494,63.653,325,325,0.000,0.000,true,0,27.0,1100.0,5.0,"(6.5, -6.0)","(6.5, 6.0)",0.6,5.0,20.092,2026-08-29T20:54:36+0800,2026-08-29T20:55:09+0800,report3/data/dynamic_ab_tracker_enabled_dynamic_20260829_2120_enabled.csv,report3/data/dynamic_ab_tracker_enabled_dynamic_20260829_2120_enabled_obstacle_events.csv
