wall_time,t,event,detail
2026-09-01T13:20:40+0800,0.000,recorder_started,prefix=/home/jkjkzhang/lidar_project/report3/data/static_plan_20260901_plan06
2026-09-01T13:20:42+0800,1.483,goal_status,IDLE code=0; status_seq=1
2026-09-01T13:21:28+0800,48.112,goal_received,frame=camera_init; x=18.000; y=0.000
2026-09-01T13:21:28+0800,48.115,goal_status,QUEUED code=1; waiting for Nav2 action server; status_seq=2
2026-09-01T13:21:28+0800,48.119,goal_status,ACCEPTED code=1; Nav2 goal accepted; status_seq=3
2026-09-01T13:21:28+0800,48.137,plan_received,id=1; source=/unsmoothed_plan; points=34; frame=camera_init; world_frame=camera_init
2026-09-01T13:21:28+0800,48.139,plan_received,id=2; source=/plan; points=34; frame=camera_init; world_frame=camera_init
2026-09-01T13:21:28+0800,48.157,plan_received,id=3; source=/received_global_plan; points=34; frame=wamv/wamv/base_link; world_frame=camera_init
2026-09-01T13:21:29+0800,48.257,plan_received,id=4; source=/received_global_plan; points=34; frame=wamv/wamv/base_link; world_frame=camera_init
2026-09-01T13:21:29+0800,48.357,plan_received,id=5; source=/received_global_plan; points=34; frame=wamv/wamv/base_link; world_frame=camera_init
2026-09-01T13:21:29+0800,48.456,plan_received,id=6; source=/received_global_plan; points=34; frame=wamv/wamv/base_link; world_frame=camera_init
2026-09-01T13:21:29+0800,48.556,plan_received,id=7; source=/received_global_plan; points=34; frame=wamv/wamv/base_link; world_frame=camera_init
2026-09-01T13:21:29+0800,48.656,plan_received,id=8; source=/received_global_plan; points=34; frame=wamv/wamv/base_link; world_frame=camera_init
2026-09-01T13:21:29+0800,48.756,plan_received,id=9; source=/received_global_plan; points=34; frame=wamv/wamv/base_link; world_frame=camera_init
2026-09-01T13:21:29+0800,48.856,plan_received,id=10; source=/received_global_plan; points=34; frame=wamv/wamv/base_link; world_frame=camera_init
2026-09-01T13:21:29+0800,48.957,plan_received,id=11; source=/received_global_plan; points=34; frame=wamv/wamv/base_link; world_frame=camera_init
2026-09-01T13:21:29+0800,49.056,plan_received,id=12; source=/received_global_plan; points=34; frame=wamv/wamv/base_link; world_frame=camera_init
2026-09-01T13:21:29+0800,49.157,plan_received,id=13; source=/received_global_plan; points=34; frame=wamv/wamv/base_link; world_frame=camera_init
2026-09-01T13:21:30+0800,49.257,plan_received,id=14; source=/received_global_plan; points=34; frame=wamv/wamv/base_link; world_frame=camera_init
2026-09-01T13:21:30+0800,49.357,plan_received,id=15; source=/received_global_plan; points=34; frame=wamv/wamv/base_link; world_frame=camera_init
2026-09-01T13:21:30+0800,49.457,plan_received,id=16; source=/received_global_plan; points=34; frame=wamv/wamv/base_link; world_frame=camera_init
2026-09-01T13:21:30+0800,49.557,plan_received,id=17; source=/received_global_plan; points=34; frame=wamv/wamv/base_link; world_frame=camera_init
2026-09-01T13:21:30+0800,49.655,plan_received,id=18; source=/received_global_plan; points=34; frame=wamv/wamv/base_link; world_frame=camera_init
2026-09-01T13:21:30+0800,49.755,plan_received,id=19; source=/received_global_plan; points=34; frame=wamv/wamv/base_link; world_frame=camera_init
2026-09-01T13:21:30+0800,49.855,plan_received,id=20; source=/received_global_plan; points=34; frame=wamv/wamv/base_link; world_frame=camera_init
2026-09-01T13:21:30+0800,49.955,plan_received,id=21; source=/received_global_plan; points=34; frame=wamv/wamv/base_link; world_frame=camera_init
2026-09-01T13:21:30+0800,50.056,plan_received,id=22; source=/received_global_plan; points=34; frame=wamv/wamv/base_link; world_frame=camera_init
2026-09-01T13:21:30+0800,50.155,plan_received,id=23; source=/received_global_plan; points=34; frame=wamv/wamv/base_link; world_frame=camera_init
2026-09-01T13:21:31+0800,50.255,plan_received,id=24; source=/received_global_plan; points=34; frame=wamv/wamv/base_link; world_frame=camera_init
2026-09-01T13:21:31+0800,50.356,plan_received,id=25; source=/received_global_plan; points=34; frame=wamv/wamv/base_link; world_frame=camera_init
2026-09-01T13:21:31+0800,50.456,plan_received,id=26; source=/received_global_plan; points=34; frame=wamv/wamv/base_link; world_frame=camera_init
2026-09-01T13:21:31+0800,50.557,plan_received,id=27; source=/received_global_plan; points=34; frame=wamv/wamv/base_link; world_frame=camera_init
2026-09-01T13:21:31+0800,50.656,plan_received,id=28; source=/received_global_plan; points=34; frame=wamv/wamv/base_link; world_frame=camera_init
2026-09-01T13:21:31+0800,50.757,plan_received,id=29; source=/received_global_plan; points=34; frame=wamv/wamv/base_link; world_frame=camera_init
2026-09-01T13:21:31+0800,50.857,plan_received,id=30; source=/received_global_plan; points=34; frame=wamv/wamv/base_link; world_frame=camera_init
2026-09-01T13:21:31+0800,50.957,plan_received,id=31; source=/received_global_plan; points=34; frame=wamv/wamv/base_link; world_frame=camera_init
2026-09-01T13:21:31+0800,51.056,plan_received,id=32; source=/received_global_plan; points=34; frame=wamv/wamv/base_link; world_frame=camera_init
2026-09-01T13:21:31+0800,51.156,plan_received,id=33; source=/received_global_plan; points=34; frame=wamv/wamv/base_link; world_frame=camera_init
2026-09-01T13:21:32+0800,51.257,plan_received,id=34; source=/received_global_plan; points=34; frame=wamv/wamv/base_link; world_frame=camera_init
2026-09-01T13:21:32+0800,51.356,plan_received,id=35; source=/received_global_plan; points=34; frame=wamv/wamv/base_link; world_frame=camera_init
2026-09-01T13:21:32+0800,51.456,plan_received,id=36; source=/received_global_plan; points=34; frame=wamv/wamv/base_link; world_frame=camera_init
2026-09-01T13:21:32+0800,51.556,plan_received,id=37; source=/received_global_plan; points=34; frame=wamv/wamv/base_link; world_frame=camera_init
2026-09-01T13:21:32+0800,51.656,plan_received,id=38; source=/received_global_plan; points=34; frame=wamv/wamv/base_link; world_frame=camera_init
2026-09-01T13:21:32+0800,51.756,plan_received,id=39; source=/received_global_plan; points=34; frame=wamv/wamv/base_link; world_frame=camera_init
2026-09-01T13:21:32+0800,51.856,plan_received,id=40; source=/received_global_plan; points=34; frame=wamv/wamv/base_link; world_frame=camera_init
2026-09-01T13:21:32+0800,51.956,plan_received,id=41; source=/received_global_plan; points=34; frame=wamv/wamv/base_link; world_frame=camera_init
2026-09-01T13:21:32+0800,52.056,plan_received,id=42; source=/received_global_plan; points=34; frame=wamv/wamv/base_link; world_frame=camera_init
2026-09-01T13:21:32+0800,52.156,plan_received,id=43; source=/received_global_plan; points=34; frame=wamv/wamv/base_link; world_frame=camera_init
2026-09-01T13:21:32+0800,52.165,plan_received,id=44; source=/unsmoothed_plan; points=27; frame=camera_init; world_frame=camera_init
2026-09-01T13:21:32+0800,52.167,plan_received,id=45; source=/plan; points=27; frame=camera_init; world_frame=camera_init
2026-09-01T13:21:33+0800,52.256,plan_received,id=46; source=/received_global_plan; points=27; frame=wamv/wamv/base_link; world_frame=camera_init
2026-09-01T13:21:33+0800,52.356,plan_received,id=47; source=/received_global_plan; points=27; frame=wamv/wamv/base_link; world_frame=camera_init
2026-09-01T13:21:33+0800,52.456,plan_received,id=48; source=/received_global_plan; points=27; frame=wamv/wamv/base_link; world_frame=camera_init
2026-09-01T13:21:33+0800,52.556,plan_received,id=49; source=/received_global_plan; points=27; frame=wamv/wamv/base_link; world_frame=camera_init
2026-09-01T13:21:33+0800,52.656,plan_received,id=50; source=/received_global_plan; points=27; frame=wamv/wamv/base_link; world_frame=camera_init
2026-09-01T13:21:33+0800,52.755,plan_received,id=51; source=/received_global_plan; points=27; frame=wamv/wamv/base_link; world_frame=camera_init
2026-09-01T13:21:33+0800,52.856,plan_received,id=52; source=/received_global_plan; points=27; frame=wamv/wamv/base_link; world_frame=camera_init
2026-09-01T13:21:33+0800,52.956,plan_received,id=53; source=/received_global_plan; points=27; frame=wamv/wamv/base_link; world_frame=camera_init
2026-09-01T13:21:33+0800,53.056,plan_received,id=54; source=/received_global_plan; points=27; frame=wamv/wamv/base_link; world_frame=camera_init
2026-09-01T13:21:33+0800,53.155,plan_received,id=55; source=/received_global_plan; points=27; frame=wamv/wamv/base_link; world_frame=camera_init
2026-09-01T13:21:34+0800,53.256,plan_received,id=56; source=/received_global_plan; points=27; frame=wamv/wamv/base_link; world_frame=camera_init
2026-09-01T13:21:34+0800,53.356,plan_received,id=57; source=/received_global_plan; points=27; frame=wamv/wamv/base_link; world_frame=camera_init
2026-09-01T13:21:34+0800,53.456,plan_received,id=58; source=/received_global_plan; points=27; frame=wamv/wamv/base_link; world_frame=camera_init
2026-09-01T13:21:34+0800,53.556,plan_received,id=59; source=/received_global_plan; points=27; frame=wamv/wamv/base_link; world_frame=camera_init
2026-09-01T13:21:34+0800,53.657,plan_received,id=60; source=/received_global_plan; points=27; frame=wamv/wamv/base_link; world_frame=camera_init
2026-09-01T13:21:34+0800,53.756,plan_received,id=61; source=/received_global_plan; points=27; frame=wamv/wamv/base_link; world_frame=camera_init
