t,source,point_index,x,y,z
3.084,raw,0,-5.8963,-5.8066,0.5625
3.084,raw,10,-5.7546,-6.0303,0.5525
3.084,raw,20,-5.6042,-6.2502,0.5426
3.084,raw,30,-5.4698,-6.4974,0.5274
3.084,raw,41,-5.2939,-6.7437,0.5147
3.084,raw,51,-5.0939,-6.9185,0.5109
3.084,raw,61,-6.4048,-6.4775,0.6754
3.084,raw,71,-6.2279,-6.6983,0.6698
3.084,raw,82,-6.0597,-6.9792,0.6572
3.084,raw,92,-5.9080,-7.2464,0.6436
3.084,raw,102,-5.7187,-7.4731,0.6355
3.084,raw,113,-5.5442,-7.7817,0.6175
3.084,raw,123,-5.3483,-8.0193,0.6067
3.084,raw,133,-5.1493,-8.2627,0.5946
3.084,raw,143,-4.9844,-8.5810,0.5719
3.084,raw,154,-4.2879,-7.9506,0.6746
3.084,raw,164,-4.0631,-8.1258,0.6679
3.084,raw,174,-4.2910,-9.3392,0.5286
3.084,raw,184,-4.0620,-9.6108,0.5098
3.084,raw,195,-7.0224,-7.2460,0.8133
3.084,raw,205,-6.8255,-7.4873,0.8085
3.084,raw,215,-6.6863,-7.8057,0.7939
3.084,raw,226,-6.4774,-8.0996,0.7843
3.084,raw,236,-6.2715,-8.3545,0.7765
3.084,raw,246,-6.1191,-8.6991,0.7581
3.084,raw,256,-5.9119,-8.9779,0.7468
3.084,raw,267,-5.6699,-9.2771,0.7347
3.084,raw,277,-5.4499,-9.5650,0.7214
3.084,raw,287,-4.2547,-7.9468,0.9055
3.084,raw,297,-4.0406,-8.1438,0.8978
3.084,raw,308,-4.7073,-10.4590,0.6770
3.084,raw,318,-4.4326,-10.7109,0.6653
3.084,raw,328,-4.1728,-11.0256,0.6466
3.084,raw,339,-3.8897,-11.4237,0.6205
3.084,raw,349,-3.6343,-11.8474,0.5901
3.084,raw,359,-3.3741,-12.3272,0.5540
3.084,raw,369,-3.1221,-12.9397,0.5047
3.084,raw,380,-8.1231,-7.5204,0.9984
3.084,raw,390,-7.9611,-7.8347,0.9907
3.084,raw,400,-7.7699,-8.1264,0.9848
3.084,raw,410,-7.5532,-8.3959,0.9806
3.084,raw,421,-7.3305,-8.7191,0.9731
3.084,raw,431,-7.1209,-9.0140,0.9658
3.084,raw,441,-6.9191,-9.3311,0.9562
3.084,raw,452,-6.6814,-9.6731,0.9459
3.084,raw,462,-6.4788,-10.0224,0.9331
3.084,raw,472,-6.2594,-10.3643,0.9206
3.084,raw,482,-5.9834,-10.6241,0.9142
3.084,raw,493,-4.1962,-7.9539,1.1346
3.084,raw,503,-3.9876,-8.1627,1.1279
3.084,raw,513,-5.2167,-11.7332,0.8683
3.084,raw,523,-4.9167,-12.0294,0.8573
3.084,raw,534,-4.6246,-12.4931,0.8345
3.084,raw,544,-4.3399,-12.9154,0.8133
3.084,raw,554,-4.1238,-13.6328,0.7705
3.084,raw,565,-3.8123,-14.3045,0.7316
3.084,raw,575,-3.5019,-14.9362,0.6944
3.084,raw,585,-3.1818,-15.6786,0.6490
3.084,raw,595,-2.8632,-16.6559,0.5867
3.084,raw,606,-2.4712,-17.8695,0.5081
3.084,raw,616,-10.6673,-4.8358,1.2491
3.084,raw,626,-10.5637,-5.1757,1.2460
3.084,raw,636,-10.4476,-5.5131,1.2430
3.084,raw,647,-10.2947,-5.8740,1.2404
3.084,raw,657,-10.0913,-6.1630,1.2410
3.084,raw,667,-9.9798,-6.5169,1.2361
3.084,raw,678,-9.8086,-6.8788,1.2326
3.084,raw,688,-9.6966,-7.2489,1.2262
3.084,raw,698,-9.5284,-7.5818,1.2224
3.084,raw,708,-9.3094,-7.8756,1.2210
3.084,raw,719,-9.1020,-8.2344,1.2167
3.084,raw,729,-8.9295,-8.5849,1.2111
3.084,raw,739,-8.7368,-8.9245,1.2059
3.084,raw,749,-8.5391,-9.2687,1.2002
3.084,raw,760,-8.2587,-9.5840,1.1975
3.084,raw,770,-8.0590,-9.9484,1.1901
3.084,raw,780,-7.8670,-10.3397,1.1811
3.084,raw,791,-7.5760,-10.6766,1.1761
3.084,raw,801,-7.3719,-11.0896,1.1655
3.084,raw,811,-7.0990,-11.4142,1.1594
3.084,raw,821,-6.8811,-11.8536,1.1471
3.084,raw,832,-4.3276,-7.9064,1.3604
3.084,raw,842,-4.0551,-7.9803,1.3629
3.084,raw,852,-6.0237,-13.0641,1.1153
3.084,raw,862,-5.7262,-13.4764,1.1034
3.084,raw,873,-5.4158,-14.0256,1.0853
3.084,raw,883,-5.1335,-14.5926,1.0654
