t,pose_x,pose_y,pose_yaw,goal_x,goal_y,goal_active,goal_status,plan_id,plan_nearest_error_m,raw_obstacle_points,dynamic_obstacle_points,dynamic_tracks,dynamic_predicted_points,dynamic_max_speed_mps,safety_stop,cmd_vx,cmd_wz,left_thrust_n,right_thrust_n
0.800,-0.0717,0.0664,-0.00010,,,0,IDLE code=0,0,,0,0,0,0,0.000,0,,,,
1.000,-0.0717,0.0664,-0.00010,,,0,IDLE code=0,0,,0,0,0,0,0.000,0,,,,
1.201,-0.0717,0.0664,-0.00010,,,0,IDLE code=0; status_seq=1,0,,0,0,0,0,0.000,0,,,,
1.401,-0.0760,0.0876,0.00107,,,0,IDLE code=0; status_seq=1,0,,0,0,0,0,0.000,0,,,,
1.600,-0.1006,0.1163,-0.00365,,,0,IDLE code=0; status_seq=1,0,,2934,0,0,0,0.000,0,,,,
1.801,-0.1086,0.1236,-0.00161,,,0,IDLE code=0; status_seq=1,0,,2934,0,0,0,0.000,0,,,,
2.000,-0.1207,0.1379,0.00110,,,0,IDLE code=0; status_seq=1,0,,2934,0,0,0,0.000,0,,,,
2.200,-0.1207,0.1379,0.00110,,,0,IDLE code=0; status_seq=1,0,,2934,0,0,0,0.000,0,,,,
2.400,-0.1207,0.1379,0.00110,,,0,IDLE code=0; status_seq=1,0,,2934,0,0,0,0.000,0,,,,
2.600,-0.1207,0.1379,0.00110,,,0,IDLE code=0; status_seq=1,0,,2934,0,0,0,0.000,0,,,,
2.800,-0.1207,0.1379,0.00110,,,0,IDLE code=0; status_seq=1,0,,2934,0,0,0,0.000,0,,,,
3.001,-0.1207,0.1379,0.00110,,,0,IDLE code=0; status_seq=1,0,,2934,0,0,0,0.000,0,,,,
3.200,-0.1207,0.1379,0.00110,,,0,IDLE code=0; status_seq=1,0,,2994,0,0,0,0.000,0,,,,
3.401,-0.1431,0.0859,-0.00053,,,0,IDLE code=0; status_seq=1,0,,2994,0,0,0,0.000,0,,,,
3.601,-0.1408,0.0780,0.00100,,,0,IDLE code=0; status_seq=1,0,,2994,0,0,0,0.000,0,,,,
3.800,-0.1408,0.0780,0.00100,,,0,IDLE code=0; status_seq=1,0,,2994,0,0,0,0.000,0,,,,
4.000,-0.1408,0.0780,0.00100,,,0,IDLE code=0; status_seq=1,0,,2994,0,0,0,0.000,0,,,,
4.200,-0.1353,0.0796,0.00080,,,0,IDLE code=0; status_seq=1,0,,3217,0,0,0,0.000,0,,,,
4.400,-0.1067,0.0412,0.00030,,,0,IDLE code=0; status_seq=1,0,,3217,0,0,0,0.000,0,,,,
4.601,-0.1026,0.0418,0.00045,,,0,IDLE code=0; status_seq=1,0,,3217,0,0,0,0.000,0,,,,
4.801,-0.0901,0.0285,-0.00046,,,0,IDLE code=0; status_seq=1,0,,3217,0,0,0,0.000,0,,,,
5.000,-0.0794,0.0212,-0.00030,,,0,IDLE code=0; status_seq=1,0,,3217,0,0,0,0.000,0,,,,
5.201,-0.0752,0.0198,-0.00028,,,0,IDLE code=0; status_seq=1,0,,4760,0,0,0,0.000,0,,,,
5.400,-0.0698,0.0179,-0.00057,,,0,IDLE code=0; status_seq=1,0,,4760,0,0,0,0.000,1,,,,
5.600,-0.0691,0.0176,-0.00077,,,0,IDLE code=0; status_seq=1,0,,4760,0,0,0,0.000,1,,,,
5.801,-0.0691,0.0176,-0.00077,,,0,IDLE code=0; status_seq=1,0,,4760,0,0,0,0.000,1,,,,
6.000,-0.0691,0.0176,-0.00077,,,0,IDLE code=0; status_seq=1,0,,4760,0,0,0,0.000,1,,,,
6.200,-0.0691,0.0176,-0.00077,,,0,IDLE code=0; status_seq=1,0,,4760,0,0,0,0.000,1,,,,
6.400,-0.0691,0.0176,-0.00077,,,0,IDLE code=0; status_seq=1,0,,4760,0,0,0,0.000,1,,,,
6.601,-0.0761,0.0699,0.00045,,,0,IDLE code=0; status_seq=1,0,,4760,0,0,0,0.000,1,,,,
6.801,-0.0758,0.0697,0.00035,,,0,IDLE code=0; status_seq=1,0,,4760,0,0,0,0.000,1,,,,
7.001,-0.0758,0.0697,0.00035,,,0,IDLE code=0; status_seq=1,0,,4760,0,0,0,0.000,1,,,,
7.200,-0.0758,0.0697,0.00035,,,0,IDLE code=0; status_seq=1,0,,4373,0,0,0,0.000,1,,,,
7.400,-0.0758,0.0697,0.00035,,,0,IDLE code=0; status_seq=1,0,,4373,0,0,0,0.000,1,,,,
7.600,-0.0758,0.0697,0.00035,,,0,IDLE code=0; status_seq=1,0,,4373,0,0,0,0.000,1,,,,
7.801,-0.1521,0.1763,-0.00164,,,0,IDLE code=0; status_seq=1,0,,4373,0,0,0,0.000,1,,,,
8.000,-0.1542,0.1782,0.00085,,,0,IDLE code=0; status_seq=1,0,,4373,0,0,0,0.000,1,,,,
8.200,-0.1542,0.1782,0.00085,,,0,IDLE code=0; status_seq=1,0,,4373,0,0,0,0.000,1,,,,
8.402,-0.1680,0.1806,-0.00318,,,0,IDLE code=0; status_seq=1,0,,4518,0,0,0,0.000,1,,,,
8.600,-0.1788,0.1866,0.00272,,,0,IDLE code=0; status_seq=1,0,,4518,0,0,0,0.000,1,,,,
8.800,-0.1788,0.1866,0.00272,,,0,IDLE code=0; status_seq=1,0,,4518,0,0,0,0.000,1,,,,
9.001,-0.1808,0.1785,-0.00122,,,0,IDLE code=0; status_seq=1,0,,4518,0,0,0,0.000,1,,,,
9.201,-0.1796,0.1768,0.00111,,,0,IDLE code=0; status_seq=1,0,,4518,0,0,0,0.000,1,,,,
9.401,-0.1778,0.1749,0.00056,,,0,IDLE code=0; status_seq=1,0,,4697,0,0,0,0.000,1,,,,
9.601,-0.1720,0.1584,0.00090,,,0,IDLE code=0; status_seq=1,0,,4697,0,0,0,0.000,1,,,,
9.800,-0.1720,0.1584,0.00090,,,0,IDLE code=0; status_seq=1,0,,4697,0,0,0,0.000,1,,,,
10.001,-0.1720,0.1584,0.00090,,,0,IDLE code=0; status_seq=1,0,,4697,0,0,0,0.000,1,,,,
10.201,-0.1720,0.1584,0.00090,,,0,IDLE code=0; status_seq=1,0,,4697,0,0,0,0.000,1,,,,
10.401,-0.1720,0.1584,0.00090,,,0,IDLE code=0; status_seq=1,0,,4697,0,0,0,0.000,1,,,,
10.601,-0.1185,0.1444,0.00421,,,0,IDLE code=0; status_seq=1,0,,4848,0,0,0,0.000,1,,,,
10.801,-0.0843,0.0368,0.00123,,,0,IDLE code=0; status_seq=1,0,,4848,0,0,0,0.000,1,,,,
