wall_time,stream,frame,n,xmin,xmax,ymin,ymax,zmin,zmax,r01,r05,r50,r95,r<2,r<5,r<10,r<15,r<20,r<35,s0,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15
1788002720.671,input,wamv/wamv/base_link/lidar_wamv_sensor,23333,-104.21504974365234,56.33277130126953,-127.79342651367188,129.4427947998047,-5.585481643676758,23.667150497436523,0.37307342594924464,0.4305175917236808,32.4249312506637,95.3110752555477,3690,3690,4151,5240,6229,12737,3946,3562,3324,2769,1216,143,0,0,0,23,64,435,690,1224,2538,3399
1788002720.908,input,wamv/wamv/base_link/lidar_wamv_sensor,23313,-104.23451232910156,56.33309555053711,-127.80496215820312,129.44029235839844,-5.4736175537109375,23.66733169555664,0.3727014163737812,0.43088018164872255,32.43254830627414,95.2822370935669,3690,3690,4155,5240,6237,12730,3943,3558,3326,2764,1212,140,0,0,0,23,64,435,690,1223,2544,3391
1788002721.312,input,wamv/wamv/base_link/lidar_wamv_sensor,23269,-104.24491882324219,56.3266716003418,-127.82093811035156,129.47293090820312,-5.415211200714111,23.699064254760742,0.3730900749589799,0.43033153194426615,32.375518337893794,95.13560132501057,3690,3690,4153,5216,6329,12775,3943,3569,3321,2759,1205,140,0,0,0,25,64,436,679,1225,2534,3369
1788002721.532,input,wamv/wamv/base_link/lidar_wamv_sensor,23258,-104.25375366210938,56.32731246948242,-127.83576965332031,129.474853515625,-5.347978591918945,23.701623916625977,0.37307194646608843,0.43021292331288913,32.343510808026366,94.81765408428105,3690,3690,4153,5213,6338,12792,3939,3569,3325,2756,1201,140,0,0,0,25,64,436,674,1229,2527,3373
1788002721.745,input,wamv/wamv/base_link/lidar_wamv_sensor,23241,-104.263427734375,56.33781814575195,-127.80807495117188,129.4947052001953,-5.381692409515381,23.710058212280273,0.3732724275636265,0.43027584898571525,32.35756051783319,94.64196508937513,3690,3690,4150,5199,6338,12776,3944,3568,3324,2764,1188,140,0,0,0,25,64,437,671,1228,2513,3375
1788002721.760,raw,wamv/wamv/base_link,3078,-34.746055603027344,26.679975509643555,-34.301025390625,25.367868423461914,0.500899076461792,3.9654111862182617,8.465641693401029,9.213212691452094,15.946903702616988,31.969450908547742,0,0,238,1201,2161,3078,667,545,791,483,112,0,0,0,3,21,0,0,0,39,249,168
1788002721.774,safety,wamv/wamv/base_link,3078,-34.746055603027344,26.679975509643555,-34.301025390625,25.367868423461914,0.500899076461792,3.9654111862182617,8.465641693401029,9.213212691452094,15.946903702616988,31.969450908547742,0,0,238,1201,2161,3078,667,545,791,483,112,0,0,0,3,21,0,0,0,39,249,168
1788002721.984,input,wamv/wamv/base_link/lidar_wamv_sensor,23237,-104.27915954589844,56.3325080871582,-127.8443374633789,129.51058959960938,-5.47340726852417,23.947704315185547,0.3728947235168269,0.4312094201093114,32.38921049271944,94.54998535883293,3690,3690,4152,5198,6307,12738,3942,3572,3323,2760,1185,140,0,0,0,25,64,440,678,1235,2516,3357
1788002722.004,raw,wamv/wamv/base_link,3069,-34.691246032714844,26.696535110473633,-34.23481369018555,25.239591598510742,0.5001876354217529,3.9662370681762695,8.453994860842224,9.21268039482094,15.916756764915194,32.00021760316664,0,0,240,1204,2149,3069,647,550,796,490,118,0,0,0,3,21,0,0,0,33,249,162
1788002722.024,safety,wamv/wamv/base_link,3069,-34.691246032714844,26.696535110473633,-34.23481369018555,25.239591598510742,0.5001876354217529,3.9662370681762695,8.453994860842224,9.21268039482094,15.916756764915194,32.00021760316664,0,0,240,1204,2149,3069,647,550,796,490,118,0,0,0,3,21,0,0,0,33,249,162
1788002722.228,input,wamv/wamv/base_link/lidar_wamv_sensor,23233,-104.29109954833984,56.33035659790039,-127.82656860351562,129.5242156982422,-5.530366897583008,23.942020416259766,0.3724761713103792,0.4296093238548538,32.42098161756017,94.5884517083167,3690,3690,4149,5191,6302,12718,3941,3573,3317,2762,1184,140,0,0,0,25,64,439,683,1240,2516,3349
1788002722.240,raw,wamv/wamv/base_link,3070,-34.82711410522461,26.69462776184082,-34.13227844238281,25.02627182006836,0.5021011829376221,3.96610426902771,8.44210917204719,9.207720583501512,15.902944076621653,32.03459838195314,0,0,240,1205,2149,3070,643,554,799,491,118,0,0,0,3,21,0,0,0,29,249,163
1788002722.250,safety,wamv/wamv/base_link,3070,-34.82711410522461,26.69462776184082,-34.13227844238281,25.02627182006836,0.5021011829376221,3.96610426902771,8.44210917204719,9.207720583501512,15.902944076621653,32.03459838195314,0,0,240,1205,2149,3070,643,554,799,491,118,0,0,0,3,21,0,0,0,29,249,163
1788002722.262,raw,wamv/wamv/base_link,3077,-34.858760833740234,26.68330192565918,-34.1854133605957,25.000154495239258,0.5003160238265991,3.966870069503784,8.448213729311414,9.204367354634151,15.906221265124568,32.051225780570455,0,0,242,1206,2153,3077,642,553,802,495,121,0,0,0,3,21,0,0,0,27,249,164
1788002722.273,safety,wamv/wamv/base_link,3077,-34.858760833740234,26.68330192565918,-34.1854133605957,25.000154495239258,0.5003160238265991,3.966870069503784,8.448213729311414,9.204367354634151,15.906221265124568,32.051225780570455,0,0,242,1206,2153,3077,642,553,802,495,121,0,0,0,3,21,0,0,0,27,249,164
1788002722.343,raw,wamv/wamv/base_link,3085,-34.820831298828125,26.7037353515625,-34.14805603027344,24.846481323242188,0.5005834102630615,3.9666154384613037,8.431067024342509,9.189628181412314,15.896886820271721,32.012674317332255,0,0,246,1218,2149,3085,635,553,816,500,126,0,0,0,3,19,0,0,0,21,249,163
1788002722.353,safety,wamv/wamv/base_link,3085,-34.820831298828125,26.7037353515625,-34.14805603027344,24.846481323242188,0.5005834102630615,3.9666154384613037,8.431067024342509,9.189628181412314,15.896886820271721,32.012674317332255,0,0,246,1218,2149,3085,635,553,816,500,126,0,0,0,3,19,0,0,0,21,249,163
1788002722.755,input,wamv/wamv/base_link/lidar_wamv_sensor,23233,-104.28511810302734,56.33475875854492,-127.78392791748047,129.5139617919922,-5.665457248687744,25.21913719177246,0.3736497125615177,0.43015884231297946,32.40627074810338,94.72671421523889,3690,3690,4161,5186,6285,12730,3935,3572,3334,2744,1176,140,0,0,0,20,64,449,696,1246,2507,3350
1788002722.995,input,wamv/wamv/base_link/lidar_wamv_sensor,23234,-104.27265167236328,56.33267593383789,-127.79652404785156,129.51600646972656,-5.665950775146484,25.213699340820312,0.37293154508242876,0.4304879496003068,32.384529046023,94.64835577295837,3690,3690,4160,5195,6281,12748,3940,3568,3326,2745,1175,140,0,0,0,20,64,451,697,1246,2508,3354
1788002723.007,raw,wamv/wamv/base_link,3099,-34.894775390625,26.676870346069336,-34.108394622802734,24.702146530151367,0.5000693798065186,3.965838670730591,8.429025806790936,9.176324381708028,15.912148145438543,31.92331348023415,0,0,250,1228,2153,3099,639,550,825,505,128,0,0,0,2,18,0,0,0,20,249,163
1788002723.019,safety,wamv/wamv/base_link,3099,-34.894775390625,26.676870346069336,-34.108394622802734,24.702146530151367,0.5000693798065186,3.965838670730591,8.429025806790936,9.176324381708028,15.912148145438543,31.92331348023415,0,0,250,1228,2153,3099,639,550,825,505,128,0,0,0,2,18,0,0,0,20,249,163
1788002723.239,input,wamv/wamv/base_link/lidar_wamv_sensor,23255,-104.28437042236328,56.328941345214844,-127.78831481933594,129.5240478515625,-5.665815830230713,25.21151351928711,0.3720375790698222,0.4304170059751605,32.38221208509372,94.62797257967796,3690,3690,4161,5205,6277,12750,3940,3576,3328,2748,1178,140,0,0,0,18,64,451,697,1246,2515,3354
1788002723.250,raw,wamv/wamv/base_link,3098,-34.796749114990234,26.687255859375,-34.0827751159668,24.708032608032227,0.5000674724578857,3.9666991233825684,8.419487335075972,9.182634555844437,15.91437547976557,31.879965516409978,0,0,250,1232,2148,3098,640,547,827,506,128,0,0,0,2,17,0,0,0,19,249,163
1788002723.261,safety,wamv/wamv/base_link,3098,-34.796749114990234,26.687255859375,-34.0827751159668,24.708032608032227,0.5000674724578857,3.9666991233825684,8.419487335075972,9.182634555844437,15.91437547976557,31.879965516409978,0,0,250,1232,2148,3098,640,547,827,506,128,0,0,0,2,17,0,0,0,19,249,163
1788002723.450,input,wamv/wamv/base_link/lidar_wamv_sensor,23259,-104.29063415527344,56.32213592529297,-127.07502746582031,129.5228729248047,-5.66507625579834,25.209871292114258,0.372500252185406,0.4301415686474233,32.35714780144828,94.55197867313322,3690,3690,4163,5219,6285,12781,3937,3568,3331,2753,1179,140,0,0,0,17,64,453,697,1248,2511,3361
1788002723.464,raw,wamv/wamv/base_link,3100,-34.63908386230469,26.698604583740234,-34.06233215332031,24.915552139282227,0.500205397605896,3.9652538299560547,8.412902404159299,9.17633197608708,15.938880074465246,31.84846278468001,0,0,251,1237,2145,3100,641,542,830,508,129,0,0,0,1,16,0,0,0,21,249,163
1788002723.478,safety,wamv/wamv/base_link,3100,-34.63908386230469,26.698604583740234,-34.06233215332031,24.915552139282227,0.500205397605896,3.9652538299560547,8.412902404159299,9.17633197608708,15.938880074465246,31.84846278468001,0,0,251,1237,2145,3100,641,542,830,508,129,0,0,0,1,16,0,0,0,21,249,163
1788002723.656,input,wamv/wamv/base_link/lidar_wamv_sensor,23286,-104.28970336914062,56.332584381103516,-126.92448425292969,129.5242156982422,-5.665813446044922,25.21149253845215,0.3734576634551425,0.4293307862388535,32.3487548126917,94.42896762355922,3690,3690,4167,5243,6291,12795,3940,3557,3327,2759,1182,140,0,0,0,15,64,453,698,1249,2517,3385
1788002723.667,raw,wamv/wamv/base_link,3103,-34.92988967895508,26.68936538696289,-34.068206787109375,24.877498626708984,0.5004485845565796,3.9655966758728027,8.401997665771756,9.173264329389454,15.938811476242812,31.81956453337175,0,0,251,1241,2146,3103,647,538,830,510,129,0,0,0,0,17,0,0,0,21,249,162
1788002723.678,safety,wamv/wamv/base_link,3103,-34.92988967895508,26.68936538696289,-34.068206787109375,24.877498626708984,0.5004485845565796,3.9655966758728027,8.401997665771756,9.173264329389454,15.938811476242812,31.81956453337175,0,0,251,1241,2146,3103,647,538,830,510,129,0,0,0,0,17,0,0,0,21,249,162
1788002723.857,input,wamv/wamv/base_link/lidar_wamv_sensor,23264,-104.28421020507812,56.32028579711914,-127.08740234375,129.50880432128906,-5.665218830108643,25.204383850097656,0.37325720199939993,0.430535219521486,32.33889792456314,94.52859332615446,3690,3690,4168,5248,6274,12784,3932,3547,3324,2761,1184,140,0,0,0,13,64,455,698,1248,2514,3384
1788002723.867,raw,wamv/wamv/base_link,3100,-34.52832794189453,26.686725616455078,-34.07830810546875,24.93147850036621,0.5004589557647705,3.9643073081970215,8.393987543864764,9.17659943992132,15.918098326675763,31.767101740364428,0,0,254,1257,2145,3100,662,509,828,520,129,0,0,0,0,14,0,0,0,23,249,166
1788002723.877,safety,wamv/wamv/base_link,3100,-34.52832794189453,26.686725616455078,-34.07830810546875,24.93147850036621,0.5004589557647705,3.9643073081970215,8.393987543864764,9.17659943992132,15.918098326675763,31.767101740364428,0,0,254,1257,2145,3100,662,509,828,520,129,0,0,0,0,14,0,0,0,23,249,166
1788002724.065,input,wamv/wamv/base_link/lidar_wamv_sensor,23279,-104.28043365478516,56.32482147216797,-126.92295837402344,129.5242156982422,-5.663943767547607,25.200990676879883,0.3724057157522263,0.4306604861298199,32.36732906552057,94.53589700963664,3690,3690,4169,5256,6256,12765,3934,3546,3327,2764,1190,140,0,0,0,11,66,457,703,1242,2525,3374
1788002724.076,raw,wamv/wamv/base_link,3078,-34.755619049072266,26.698366165161133,-34.124969482421875,25.066240310668945,0.5003185272216797,3.964611291885376,8.38626472406683,9.174264349134553,15.897402535790102,31.73383281320397,0,0,254,1263,2124,3078,651,492,827,522,128,0,0,0,0,12,0,0,0,25,249,172
1788002724.087,safety,wamv/wamv/base_link,3078,-34.755619049072266,26.698366165161133,-34.124969482421875,25.066240310668945,0.5003185272216797,3.964611291885376,8.38626472406683,9.174264349134553,15.897402535790102,31.73383281320397,0,0,254,1263,2124,3078,651,492,827,522,128,0,0,0,0,12,0,0,0,25,249,172
1788002724.298,input,wamv/wamv/base_link/lidar_wamv_sensor,23356,-104.25777435302734,56.33090591430664,-124.87359619140625,129.51051330566406,-5.662477970123291,25.23045539855957,0.3735882067326635,0.4306839383675237,32.414893471244255,94.51587598374499,3690,3690,4174,5275,6176,12740,3944,3561,3333,2770,1203,140,0,0,0,14,70,456,702,1240,2538,3385
1788002724.308,raw,wamv/wamv/base_link,2995,-34.844398498535156,26.759183883666992,-34.15837097167969,25.29350471496582,0.5004687309265137,3.9637560844421387,8.340754644587372,9.140056521253845,15.803195128310776,31.824541249436503,0,0,267,1301,2037,2995,548,477,834,534,124,0,0,0,0,9,0,0,0,36,249,184
1788002724.319,safety,wamv/wamv/base_link,2995,-34.844398498535156,26.759183883666992,-34.15837097167969,25.29350471496582,0.5004687309265137,3.9637560844421387,8.340754644587372,9.140056521253845,15.803195128310776,31.824541249436503,0,0,267,1301,2037,2995,548,477,834,534,124,0,0,0,0,9,0,0,0,36,249,184
1788002724.488,input,wamv/wamv/base_link/lidar_wamv_sensor,23410,-104.25990295410156,56.33220291137695,-127.75316619873047,129.4862823486328,-5.661181926727295,25.231176376342773,0.3725851214472496,0.4299684905364427,32.42814893028529,94.5344522687613,3690,3690,4178,5294,6198,12753,3946,3596,3325,2776,1208,140,0,0,0,13,78,455,698,1233,2544,3398
1788002724.499,raw,wamv/wamv/base_link,2992,-34.81166458129883,26.774511337280273,-34.22356414794922,25.365970611572266,0.5001219511032104,3.964512586593628,8.328442958418288,9.128546718697512,15.75947758066304,31.819862885504843,0,0,270,1308,2008,2992,539,474,834,535,123,0,0,0,0,9,0,0,0,38,249,191
