plan_id,t,source,frame_id,point_index,x,y,yaw
4,35.364,/received_global_plan,wamv/wamv/base_link,11,6.2931,-3.0383,0.55845
4,35.364,/received_global_plan,wamv/wamv/base_link,12,6.8435,-2.6944,0.66303
4,35.364,/received_global_plan,wamv/wamv/base_link,13,7.3738,-2.2803,0.70540
4,35.364,/received_global_plan,wamv/wamv/base_link,14,7.8985,-1.8334,0.69350
4,35.364,/received_global_plan,wamv/wamv/base_link,15,8.4348,-1.3877,0.64276
4,35.364,/received_global_plan,wamv/wamv/base_link,16,8.9953,-0.9679,0.58006
4,35.364,/received_global_plan,wamv/wamv/base_link,17,9.5822,-0.5834,0.53709
4,35.364,/received_global_plan,wamv/wamv/base_link,18,10.1857,-0.2240,-0.00261
5,35.465,/received_global_plan,wamv/wamv/base_link,0,0.0042,-0.0045,-0.61522
5,35.465,/received_global_plan,wamv/wamv/base_link,1,0.6424,-0.4555,-0.66151
5,35.465,/received_global_plan,wamv/wamv/base_link,2,1.2532,-0.9311,-0.72636
5,35.465,/received_global_plan,wamv/wamv/base_link,3,1.8212,-1.4357,-0.77024
5,35.465,/received_global_plan,wamv/wamv/base_link,4,2.3504,-1.9491,-0.75713
5,35.465,/received_global_plan,wamv/wamv/base_link,5,2.8639,-2.4343,-0.67079
5,35.465,/received_global_plan,wamv/wamv/base_link,6,3.3893,-2.8512,-0.51452
5,35.465,/received_global_plan,wamv/wamv/base_link,7,3.9428,-3.1641,-0.30389
5,35.465,/received_global_plan,wamv/wamv/base_link,8,4.5247,-3.3466,-0.06312
5,35.465,/received_global_plan,wamv/wamv/base_link,9,5.1222,-3.3844,0.17853
5,35.465,/received_global_plan,wamv/wamv/base_link,10,5.7170,-3.2770,0.39289
5,35.465,/received_global_plan,wamv/wamv/base_link,11,6.2931,-3.0383,0.55845
5,35.465,/received_global_plan,wamv/wamv/base_link,12,6.8435,-2.6944,0.66303
5,35.465,/received_global_plan,wamv/wamv/base_link,13,7.3738,-2.2803,0.70540
5,35.465,/received_global_plan,wamv/wamv/base_link,14,7.8985,-1.8334,0.69350
5,35.465,/received_global_plan,wamv/wamv/base_link,15,8.4348,-1.3877,0.64276
5,35.465,/received_global_plan,wamv/wamv/base_link,16,8.9953,-0.9679,0.58006
5,35.465,/received_global_plan,wamv/wamv/base_link,17,9.5822,-0.5834,0.53709
5,35.465,/received_global_plan,wamv/wamv/base_link,18,10.1857,-0.2240,-0.00261
6,35.565,/received_global_plan,wamv/wamv/base_link,0,0.0042,-0.0045,-0.61522
6,35.565,/received_global_plan,wamv/wamv/base_link,1,0.6424,-0.4555,-0.66151
6,35.565,/received_global_plan,wamv/wamv/base_link,2,1.2532,-0.9311,-0.72636
6,35.565,/received_global_plan,wamv/wamv/base_link,3,1.8212,-1.4357,-0.77024
6,35.565,/received_global_plan,wamv/wamv/base_link,4,2.3504,-1.9491,-0.75713
6,35.565,/received_global_plan,wamv/wamv/base_link,5,2.8639,-2.4343,-0.67079
6,35.565,/received_global_plan,wamv/wamv/base_link,6,3.3893,-2.8512,-0.51452
6,35.565,/received_global_plan,wamv/wamv/base_link,7,3.9428,-3.1641,-0.30389
6,35.565,/received_global_plan,wamv/wamv/base_link,8,4.5247,-3.3466,-0.06312
6,35.565,/received_global_plan,wamv/wamv/base_link,9,5.1222,-3.3844,0.17853
6,35.565,/received_global_plan,wamv/wamv/base_link,10,5.7170,-3.2770,0.39289
6,35.565,/received_global_plan,wamv/wamv/base_link,11,6.2931,-3.0383,0.55845
6,35.565,/received_global_plan,wamv/wamv/base_link,12,6.8435,-2.6944,0.66303
6,35.565,/received_global_plan,wamv/wamv/base_link,13,7.3738,-2.2803,0.70540
6,35.565,/received_global_plan,wamv/wamv/base_link,14,7.8985,-1.8334,0.69350
6,35.565,/received_global_plan,wamv/wamv/base_link,15,8.4348,-1.3877,0.64276
6,35.565,/received_global_plan,wamv/wamv/base_link,16,8.9953,-0.9679,0.58006
6,35.565,/received_global_plan,wamv/wamv/base_link,17,9.5822,-0.5834,0.53709
6,35.565,/received_global_plan,wamv/wamv/base_link,18,10.1857,-0.2240,-0.00261
