t,pose_x,pose_y,pose_yaw,goal_x,goal_y,goal_active,goal_status,plan_id,plan_nearest_error_m,raw_obstacle_points,dynamic_obstacle_points,dynamic_tracks,dynamic_predicted_points,dynamic_max_speed_mps,safety_stop,cmd_vx,cmd_wz,left_thrust_n,right_thrust_n
1.601,4.1972,2.6901,0.09737,,,0,ABORTED code=6; status_seq=4,0,,1607,0,0,0,0.000,0,,,0.000,0.000
1.801,4.1856,2.6858,0.09563,,,0,ABORTED code=6; status_seq=4,0,,1607,0,0,0,0.000,0,,,0.000,0.000
2.000,4.1856,2.6858,0.09563,,,0,ABORTED code=6; status_seq=4,0,,1607,0,0,0,0.000,0,,,0.000,0.000
2.201,4.2287,2.6618,0.09474,,,0,ABORTED code=6; status_seq=4,0,,1607,0,0,0,0.000,0,,,0.000,0.000
2.400,4.2629,2.6505,0.09837,,,0,ABORTED code=6; status_seq=4,0,,1607,0,0,0,0.000,0,,,0.000,0.000
2.600,4.2508,2.6525,0.09558,,,0,ABORTED code=6; status_seq=4,0,,1607,0,0,0,0.000,0,,,0.000,0.000
2.801,4.2713,2.6427,0.09526,,,0,ABORTED code=6; status_seq=4,0,,1446,0,0,0,0.000,0,,,0.000,0.000
3.001,4.2789,2.6441,0.09351,,,0,ABORTED code=6; status_seq=4,0,,1446,0,0,0,0.000,0,,,0.000,0.000
3.200,4.2761,2.6414,0.09537,,,0,ABORTED code=6; status_seq=4,0,,1446,0,0,0,0.000,0,,,0.000,0.000
3.401,4.2761,2.6414,0.09537,,,0,ABORTED code=6; status_seq=4,0,,1446,0,0,0,0.000,0,,,0.000,0.000
3.601,4.2834,2.6536,0.09611,,,0,ABORTED code=6; status_seq=4,0,,1446,0,0,0,0.000,0,,,0.000,0.000
3.800,4.2675,2.6632,0.09281,,,0,ABORTED code=6; status_seq=4,0,,1411,0,0,0,0.000,0,,,0.000,0.000
4.001,4.2590,2.6768,0.09813,,,0,ABORTED code=6; status_seq=4,0,,1411,0,0,0,0.000,0,,,0.000,0.000
4.201,4.2418,2.6836,0.09633,,,0,ABORTED code=6; status_seq=4,0,,1411,0,0,0,0.000,0,,,0.000,0.000
4.400,4.2315,2.6860,0.09466,,,0,ABORTED code=6; status_seq=4,0,,1411,0,0,0,0.000,0,,,0.000,0.000
4.600,4.1970,2.7064,0.09529,,,0,ABORTED code=6; status_seq=4,0,,1411,0,0,0,0.000,0,,,0.000,0.000
4.800,4.1971,2.7064,0.09530,,,0,ABORTED code=6; status_seq=4,0,,1411,0,0,0,0.000,0,,,0.000,0.000
5.000,4.1971,2.7064,0.09530,,,0,ABORTED code=6; status_seq=4,0,,1411,0,0,0,0.000,0,,,0.000,0.000
5.200,4.1533,2.7347,0.09586,,,0,ABORTED code=6; status_seq=4,0,,1411,0,0,0,0.000,0,,,0.000,0.000
5.400,4.1382,2.7384,0.09459,,,0,ABORTED code=6; status_seq=4,0,,1411,0,0,0,0.000,0,,,0.000,0.000
5.600,4.1056,2.7681,0.09468,,,0,ABORTED code=6; status_seq=4,0,,2755,0,0,0,0.000,1,,,0.000,0.000
5.800,4.0937,2.7608,0.09389,,,0,ABORTED code=6; status_seq=4,0,,2755,0,0,0,0.000,1,,,0.000,0.000
6.001,4.0898,2.7587,0.09442,,,0,ABORTED code=6; status_seq=4,0,,2755,0,0,0,0.000,1,,,0.000,0.000
6.201,4.0898,2.7458,0.09461,,,0,ABORTED code=6; status_seq=4,0,,2755,0,0,0,0.000,1,,,0.000,0.000
6.400,4.0806,2.7423,0.09455,,,0,ABORTED code=6; status_seq=4,0,,2755,0,0,0,0.000,1,,,0.000,0.000
6.600,4.0806,2.7423,0.09455,,,0,ABORTED code=6; status_seq=4,0,,2962,0,0,0,0.000,1,,,0.000,0.000
6.800,4.1152,2.7170,0.09459,,,0,ABORTED code=6; status_seq=4,0,,2962,0,0,0,0.000,1,,,0.000,0.000
7.000,4.1218,2.7038,0.09568,,,0,ABORTED code=6; status_seq=4,0,,2962,0,0,0,0.000,1,,,0.000,0.000
7.200,4.1475,2.6866,0.09446,,,0,ABORTED code=6; status_seq=4,0,,2962,0,0,0,0.000,1,,,0.000,0.000
