wall_time,sim_time,topic,frame_id,tf_ok,total_points,danger_points,expanded_box_points,nearest_xy_m,danger_sectors,raw_clean_streak,result
2026-08-30T18:45:56+0800,0.000,/usv/structure_map_cloud,camera_init,0,0,0,0,,0,,blocked
2026-08-30T18:45:56+0800,40.864,/usv/raw_obstacle_cloud,wamv/wamv/base_link,1,2953,0,0,8.076,0,1,clean
2026-08-30T18:45:56+0800,40.976,/usv/structure_map_cloud,camera_init,1,0,0,0,,0,,clean
2026-08-30T18:45:56+0800,41.328,/usv/raw_obstacle_cloud,wamv/wamv/base_link,1,2893,0,0,8.084,0,2,clean
2026-08-30T18:45:56+0800,41.424,/usv/raw_obstacle_cloud,wamv/wamv/base_link,1,2896,0,0,8.083,0,3,clean
2026-08-30T18:45:57+0800,41.472,/usv/structure_map_cloud,camera_init,1,0,0,0,,0,,clean
2026-08-30T18:45:57+0800,41.524,/usv/raw_obstacle_cloud,wamv/wamv/base_link,1,2897,0,0,8.083,0,4,clean
2026-08-30T18:45:57+0800,41.588,/usv/structure_map_cloud,camera_init,1,0,0,0,,0,,clean
2026-08-30T18:45:57+0800,41.684,/usv/structure_map_cloud,camera_init,1,0,0,0,,0,,clean
2026-08-30T18:45:57+0800,41.980,/usv/structure_map_cloud,camera_init,1,0,0,0,,0,,clean
2026-08-30T18:45:57+0800,42.120,/usv/raw_obstacle_cloud,wamv/wamv/base_link,1,2941,0,0,8.099,0,5,PASS
