wall_time,sim_time,topic,frame_id,tf_ok,total_points,danger_points,expanded_box_points,nearest_xy_m,danger_sectors,raw_clean_streak,result
2026-08-30T14:41:52+0800,0.000,/usv/structure_map_cloud,camera_init,0,0,0,0,,0,,blocked
2026-08-30T14:41:52+0800,0.000,/usv/raw_obstacle_cloud,wamv/wamv/base_link,1,3102,0,0,8.097,0,1,clean
2026-08-30T14:41:52+0800,0.000,/usv/structure_map_cloud,camera_init,0,0,0,0,,0,,blocked
2026-08-30T14:41:52+0800,39.996,/usv/raw_obstacle_cloud,wamv/wamv/base_link,1,3072,0,0,8.090,0,2,clean
2026-08-30T14:41:52+0800,39.996,/usv/structure_map_cloud,camera_init,0,0,0,0,,0,,blocked
2026-08-30T14:41:52+0800,40.144,/usv/raw_obstacle_cloud,wamv/wamv/base_link,1,3061,0,0,8.090,0,3,clean
2026-08-30T14:41:53+0800,40.144,/usv/structure_map_cloud,camera_init,0,0,0,0,,0,,blocked
2026-08-30T14:41:53+0800,40.144,/usv/raw_obstacle_cloud,wamv/wamv/base_link,1,3041,0,0,8.081,0,4,clean
2026-08-30T14:41:53+0800,40.144,/usv/structure_map_cloud,camera_init,0,0,0,0,,0,,blocked
2026-08-30T14:41:53+0800,40.628,/usv/raw_obstacle_cloud,wamv/wamv/base_link,1,2982,0,0,8.089,0,5,PASS
