t,source,point_index,x,y,z
2.901,raw,0,-5.4951,-5.9532,0.5946
2.901,raw,9,-5.3468,-6.1214,0.5912
2.901,raw,19,-5.2215,-6.3580,0.5776
2.901,raw,29,-5.0572,-6.5545,0.5708
2.901,raw,39,-4.9039,-6.7708,0.5599
2.901,raw,49,-4.7562,-7.0033,0.5456
2.901,raw,59,-4.6043,-7.2405,0.5301
2.901,raw,69,-4.4260,-7.4475,0.5191
2.901,raw,79,-4.2432,-7.7092,0.5008
2.901,raw,89,-5.8659,-6.6645,0.7094
2.901,raw,98,-5.7424,-6.8940,0.6987
2.901,raw,108,-5.5543,-7.0946,0.6946
2.901,raw,118,-5.4200,-7.3702,0.6789
2.901,raw,128,-5.2580,-7.6207,0.6665
2.901,raw,138,-5.0851,-7.8664,0.6544
2.901,raw,148,-4.8926,-8.0924,0.6445
2.901,raw,158,-4.4731,-7.9425,0.6847
2.901,raw,168,-4.1963,-8.0113,0.6937
2.901,raw,178,-4.3444,-8.8990,0.5944
2.901,raw,188,-4.1563,-9.1967,0.5731
2.901,raw,197,-3.9440,-9.3910,0.5630
2.901,raw,207,-3.7199,-9.6498,0.5456
2.901,raw,217,-3.4928,-9.9256,0.5255
2.901,raw,227,-3.2627,-10.2241,0.5019
2.901,raw,237,-6.4756,-7.3017,0.8498
2.901,raw,247,-6.3290,-7.5848,0.8390
2.901,raw,257,-6.1557,-7.8455,0.8306
2.901,raw,267,-5.9792,-8.1112,0.8212
2.901,raw,277,-5.8429,-8.4439,0.8038
2.901,raw,287,-5.6492,-8.7107,0.7937
2.901,raw,296,-5.4880,-8.9820,0.7807
2.901,raw,306,-4.5245,-7.9752,0.9068
2.901,raw,316,-4.2032,-7.9672,0.9222
2.901,raw,326,-4.0653,-8.2939,0.9016
2.901,raw,336,-4.6181,-10.0873,0.7301
2.901,raw,346,-4.3853,-10.3806,0.7146
2.901,raw,356,-4.1341,-10.6554,0.7003
2.901,raw,366,-3.8971,-10.9935,0.6793
2.901,raw,376,-3.6343,-11.2979,0.6611
2.901,raw,385,-3.4547,-11.7837,0.6236
2.901,raw,395,-3.2112,-12.2604,0.5879
2.901,raw,405,-2.9742,-12.8533,0.5406
2.901,raw,415,-7.6734,-7.1684,1.0403
2.901,raw,425,-7.5519,-7.4928,1.0309
2.901,raw,435,-7.3862,-7.7827,1.0247
2.901,raw,445,-7.2376,-8.0998,1.0156
2.901,raw,455,-7.0543,-8.3881,1.0091
2.901,raw,465,-6.8508,-8.6605,1.0035
2.901,raw,475,-6.6624,-8.9609,0.9952
2.901,raw,484,-6.4908,-9.2389,0.9868
2.901,raw,494,-6.2954,-9.5544,0.9767
2.901,raw,504,-6.0967,-9.8810,0.9654
2.901,raw,514,-5.8508,-10.1473,0.9586
2.901,raw,524,-4.2158,-7.9338,1.1473
2.901,raw,534,-4.0421,-8.1888,1.1375
2.901,raw,544,-5.1601,-11.1302,0.9215
2.901,raw,554,-4.9406,-11.5342,0.9026
2.901,raw,564,-4.6534,-11.8171,0.8925
2.901,raw,574,-4.4083,-12.2346,0.8720
2.901,raw,583,-4.1834,-12.6428,0.8509
2.901,raw,593,-3.9506,-13.2111,0.8189
2.901,raw,603,-3.7281,-13.9125,0.7771
2.901,raw,613,-3.4612,-14.5827,0.7373
2.901,raw,623,-3.1561,-15.2359,0.6985
2.901,raw,633,-2.8631,-16.1191,0.6430
2.901,raw,643,-2.5196,-16.9823,0.5887
2.901,raw,653,-2.1747,-18.1679,0.5114
2.901,raw,663,-9.9127,-4.7967,1.2763
2.901,raw,672,-9.8263,-5.0877,1.2738
2.901,raw,682,-9.7369,-5.4190,1.2701
2.901,raw,692,-9.5676,-5.7077,1.2701
2.901,raw,702,-9.4931,-6.0579,1.2645
2.901,raw,712,-9.3323,-6.3577,1.2630
2.901,raw,722,-9.2220,-6.6971,1.2582
2.901,raw,732,-9.0735,-7.0148,1.2549
2.901,raw,742,-8.9121,-7.3278,1.2517
2.901,raw,752,-8.7533,-7.6487,1.2478
2.901,raw,762,-8.6189,-7.9993,1.2417
2.901,raw,771,-8.4422,-8.2701,1.2390
2.901,raw,781,-8.2503,-8.5810,1.2352
2.901,raw,791,-8.0543,-8.8950,1.2309
2.901,raw,801,-7.8900,-9.2545,1.2237
2.901,raw,811,-7.7108,-9.6107,1.2165
2.901,raw,821,-7.4774,-9.9116,1.2123
2.901,raw,831,-7.2849,-10.2786,1.2042
2.901,raw,841,-7.0332,-10.5774,1.1996
2.901,raw,851,-6.8462,-10.9887,1.1887
2.901,raw,861,-6.5896,-11.3114,1.1823
2.901,raw,870,-4.2621,-7.9052,1.3696
2.901,raw,880,-4.0389,-8.0646,1.3681
2.901,raw,890,-5.9209,-12.5124,1.1489
