wall_time,sim_time,topic,frame_id,tf_ok,total_points,danger_points,expanded_box_points,nearest_xy_m,danger_sectors,raw_clean_streak,result
2026-08-29T20:46:18+0800,0.000,/usv/structure_map_cloud,camera_init,0,0,0,0,,0,,blocked
2026-08-29T20:46:18+0800,0.000,/usv/raw_obstacle_cloud,wamv/wamv/base_link,1,3033,0,0,8.087,0,1,clean
2026-08-29T20:46:18+0800,47.400,/usv/structure_map_cloud,camera_init,0,0,0,0,,0,,blocked
2026-08-29T20:46:18+0800,47.596,/usv/structure_map_cloud,camera_init,1,0,0,0,,0,,clean
2026-08-29T20:46:18+0800,47.620,/usv/raw_obstacle_cloud,wamv/wamv/base_link,1,3041,0,0,8.098,0,2,clean
2026-08-29T20:46:18+0800,47.772,/usv/structure_map_cloud,camera_init,1,221,0,0,8.411,0,,clean
2026-08-29T20:46:19+0800,47.900,/usv/structure_map_cloud,camera_init,1,256,0,0,8.413,0,,clean
2026-08-29T20:46:19+0800,47.932,/usv/raw_obstacle_cloud,wamv/wamv/base_link,1,3057,0,0,8.081,0,3,clean
2026-08-29T20:46:19+0800,48.092,/usv/structure_map_cloud,camera_init,1,284,0,0,8.414,0,,clean
2026-08-29T20:46:19+0800,48.132,/usv/raw_obstacle_cloud,wamv/wamv/base_link,1,3061,0,0,8.089,0,4,clean
2026-08-29T20:46:19+0800,48.328,/usv/raw_obstacle_cloud,wamv/wamv/base_link,1,3038,0,0,8.092,0,5,PASS
