wall_time,sim_time,topic,frame_id,tf_ok,total_points,danger_points,expanded_box_points,nearest_xy_m,danger_sectors,raw_clean_streak,result
2026-08-29T19:57:57+0800,43.624,/usv/raw_obstacle_cloud,wamv/wamv/base_link,1,3147,0,0,8.088,0,1,clean
2026-08-29T19:57:57+0800,43.756,/usv/structure_map_cloud,camera_init,1,0,0,0,,0,,clean
2026-08-29T19:57:58+0800,44.020,/usv/raw_obstacle_cloud,wamv/wamv/base_link,1,3157,0,0,8.095,0,2,clean
2026-08-29T19:57:58+0800,44.160,/usv/structure_map_cloud,camera_init,1,0,0,0,,0,,clean
2026-08-29T19:57:58+0800,44.628,/usv/raw_obstacle_cloud,wamv/wamv/base_link,1,3103,0,0,8.086,0,3,clean
2026-08-29T19:57:59+0800,45.024,/usv/raw_obstacle_cloud,wamv/wamv/base_link,1,3025,0,0,8.082,0,4,clean
2026-08-29T19:57:59+0800,45.224,/usv/raw_obstacle_cloud,wamv/wamv/base_link,1,2999,0,0,8.079,0,5,PASS
